wl	k
0.2066	2.2878524992
0.21089508319	2.34380200581
0.215279458439	2.40069491191
0.219754982075	2.45856466247
0.224323549012	2.51744498718
0.228987093564	2.57736980208
0.233747590255	2.63837311416
0.238607054657	2.70048892948
0.243567544248	2.76375116492
0.248631159276	2.82819356301
0.253800043655	2.8938496086
0.259076385867	2.96075244558
0.264462419893	3.0289347913
0.269960426156	3.09842884581
0.275572732488	3.16926619271
0.281301715116	3.2414776876
0.287149799665	3.31509333009
0.293119462189	3.3901421147
0.299213230217	3.46665185552
0.305433683824	3.54464897941
0.311783456723	3.62415828216
0.318265237381	3.70520264187
0.324881770154	3.78780268424
0.331635856454	3.87197639482
0.338530355932	3.9577386747
0.345568187689	4.04510083794
0.352752331512	4.13407005265
0.360085829136	4.2246487324
0.367571785533	4.31683389164
0.375213370223	4.41061648852
0.383013818621	4.50598079085
0.390976433402	4.60290381618
0.399104585903	4.70135491513
0.407401717548	4.80129558656
0.415871341306	4.90267963255
0.42451704318	5.00545377803
0.433342483722	5.10955889075
0.442351399584	5.21493193877
0.451547605104	5.32150881124
0.460934993913	5.4292281021
0.470517540592	5.53803591403
0.480299302349	5.64789168451
0.49028442074	5.75877496865
0.50047712342	5.87069304304
0.510881725935	5.98368912413
0.521502633549	6.09785093007
0.532344343107	6.21331925589
0.543411444943	6.33029617015
0.554708624818	6.4490523562
0.56624066591	6.56993296731
0.578012450835	6.69336105689
0.590028963715	6.81983702415
0.602295292289	6.94993128614
0.614816630068	7.08426499818
0.627598278532	7.22346907649
0.640645649374	7.36810319041
0.653964266795	7.51850073134
0.667559769839	7.67447901036
0.681437914784	7.83481498635
0.695604577575	7.99635410453
0.710065756315	8.15267647823
0.724827573806	8.29259788304
0.739896280135	8.39965903025
0.755278255329	8.4547767539
0.770980012047	8.44368443416
0.787008198346	8.36704341358
0.803369600489	8.24645006553
0.820071145824	8.11992069579
0.837119905712	8.02772059943
0.854523098523	7.99728212025
0.872288092693	8.03655549328
0.890422409845	8.13783713444
0.908933727968	8.28647676114
0.927829884674	8.46796644208
0.947118880514	8.67111122492
0.966808882365	8.88837171746
0.986908226887	9.11507096386
1.00742542406	9.34846325893
1.02836916076	9.58700960496
1.0497483045	9.82989388106
1.07157190709	10.0767222422
1.09384920857	10.3273430211
1.11658964103	10.5817408634
1.13980283269	10.8399752049
1.16349861191	11.1021448578
1.18768701137	11.3683678742
1.21237827235	11.6387703118
1.237582849	11.9134801698
1.26331141285	12.1926243006
1.28957485725	12.4763270151
1.31638430203	12.7647096249
1.34375109819	13.0578904823
1.37168683271	13.3559852631
1.40020333347	13.6591073453
1.42931267422	13.9673682052
1.45902717974	14.2808777875
1.48935943101	14.59974483
1.52032227059	14.9240771363
1.55192880799	15.2539817956
1.58419242529	15.5895653531
1.61712678277	15.9309339374
1.65074582469	16.2781933486
1.6850637852	16.6314491137
1.72009519439	16.9908065152
1.75585488439	17.356370595
1.7923579957	17.7282461402
1.82961998359	18.1065376524
1.86765662461	18.4913493038
1.90648402331	18.8827848838
1.94611861905	19.2809477359
1.98657719294	19.6859406885
2.02787687497	20.0978659816
2.07003515123	20.5168251881
2.11306987137	20.9429191351
2.15699925609	21.3762478222
2.2018419049	21.8169103416
2.24761680399	22.2650047988
2.29434333425	22.7206282364
2.34204127949	23.1838765617
2.39073083481	23.6548444798
2.44043261516	24.1336254333
2.49116766405	24.6203115503
2.54295746248	25.114993603
2.59582393804	25.6177609772
2.64978947414	26.1287016561
2.70487691958	26.6479022196
2.76110959812	27.1754478621
2.81851131845	27.7114224299
2.8771063842	28.2559084822
2.93691960427	28.8089873774
2.99797630331	29.3707393872
3.06030233246	29.9412438429
3.1239240803	30.5205793145
3.188868484	31.1088238278
3.25516304072	31.7060551214
3.32283581931	32.3123509463
3.39191547211	32.9277894117
3.46243124716	33.5524493798
3.53441300053	34.1864109106
3.60789120897	34.829755761
3.68289698284	35.4825679384
3.75946207926	36.1449343106
3.83761891556	36.8169452721
3.91740058299	37.4986954682
3.99884086078	38.1902845733
4.08197423038	38.8918181236
4.1668358901	39.6034084007
4.25346176999	40.3251753601
4.34188854708	41.0572476008
4.43215366088	41.7997633679
4.52429532923	42.5528715791
4.61835256454	43.3167328656
4.71436519021	44.0915206146
4.81237385758	44.8774220006
4.91242006309	45.6746389906
5.01454616587	46.4833893057
5.11879540566	47.3039073236
5.22521192114	48.1364449016
5.3338407686	48.9812721034
5.44472794102	49.8386778074
5.55792038754	50.7089701815
5.67346603336	51.5924770013
5.79141379999	52.489545799
5.91181362602	53.400543823
6.0347164882	54.3258577976
6.16017442306	55.2658934693
6.28824054896	56.2210749328
6.41896908852	57.1918437304
6.55241539166	58.1786577242
6.68863595894	59.1819897428
6.82768846557	60.2023260089
6.96963178576	61.2401643569
7.11452601772	62.296012256
7.26243250901	63.3703846539
7.41341388261	64.4638016636
7.56753406337	65.576786115
7.72485830511	66.7098609976
7.88545321822	67.8635468221
8.04938679789	69.038358928
8.21672845289	70.2348047678
8.38754903495	71.453381195
8.56192086874	72.6945717862
8.73991778256	73.9588442218
8.92161513952	75.2466477525
9.10708986948	76.5584107735
9.29642050165	77.8945385272
9.48968719778	79.2554109523
9.68697178616	80.6413806933
9.88835779621	82.0527712826
10.0939304939	83.4898755046
10.3037769178	84.9529539454
10.517985916	86.4422337336
10.7366481837	87.9579074706
10.9598563014	89.5001323503
11.1877047746	91.0690294634
11.4202900733	92.6646832803
11.6577106731	94.2871413084
11.9000670968	95.936413913
12.1474619572	97.6124742965
12.4	99.3152586247
