Wavelength	n	k
0.548600	0.135900	3.335000
0.553500	0.136800	3.375000
0.558500	0.137800	3.416000
0.563600	0.138900	3.457000
0.568700	0.140100	3.499000
0.574000	0.141300	3.542000
0.579400	0.142600	3.585000
0.584800	0.143900	3.629000
0.590400	0.145400	3.673000
0.596100	0.146900	3.719000
0.601900	0.148500	3.765000
0.607800	0.150200	3.811000
0.613800	0.151900	3.859000
0.619900	0.153800	3.907000
0.626200	0.155700	3.956000
0.632600	0.157700	4.006000
0.639100	0.159800	4.057000
0.645800	0.162000	4.109000
0.652600	0.164300	4.161000
0.659500	0.166700	4.215000
0.666600	0.169200	4.269000
0.673800	0.171900	4.325000
0.681200	0.174600	4.382000
0.688800	0.177500	4.440000
0.696500	0.180400	4.499000
0.704500	0.183500	4.559000
0.712600	0.186800	4.620000
0.720800	0.190100	4.683000
0.729300	0.193700	4.747000
0.738000	0.197300	4.812000
0.746900	0.201100	4.879000
0.756000	0.205100	4.947000
0.765300	0.209300	5.017000
0.774900	0.213600	5.088000
0.784700	0.218100	5.161000
0.794800	0.222800	5.236000
0.805100	0.227800	5.313000
0.815700	0.232900	5.391000
0.826600	0.238300	5.471000
0.837700	0.243800	5.554000
0.849200	0.249700	5.638000
0.861000	0.255800	5.725000
0.873100	0.262200	5.814000
0.885600	0.268900	5.905000
0.898400	0.275900	5.999000
0.911700	0.283200	6.095000
0.925300	0.290800	6.194000
0.939300	0.298900	6.296000
0.953700	0.307300	6.400000
0.968600	0.316100	6.508000
0.984000	0.325400	6.619000
0.999900	0.335100	6.734000
1.016000	0.345400	6.852000
1.033000	0.356100	6.974000
1.051000	0.367500	7.100000
1.069000	0.379400	7.229000
1.088000	0.392000	7.364000
1.107000	0.405200	7.502000
1.127000	0.419200	7.646000
1.148000	0.434000	7.795000
1.170000	0.449700	7.949000
1.192000	0.466200	8.108000
1.216000	0.483800	8.274000
1.240000	0.502400	8.446000
1.265000	0.522200	8.625000
1.292000	0.543200	8.811000
1.319000	0.565600	9.004000
1.348000	0.589400	9.206000
1.378000	0.614900	9.416000
1.409000	0.642100	9.636000
1.442000	0.671200	9.865000
1.476000	0.702400	10.100000
1.512000	0.735900	10.360000
1.550000	0.771900	10.620000
1.590000	0.810600	10.900000
1.631000	0.852400	11.190000
1.675000	0.897700	11.490000
1.722000	0.946600	11.810000
1.771000	0.999800	12.150000
