Wavelength	n87	k87	n102	k102
0.492	0.1364	3.027	0.294600	1.296000
0.494	0.1371	3.046	0.282700	1.329000
0.4959	0.1377	3.065	0.271700	1.362000
0.4979	0.1384	3.084	0.261600	1.394000
0.4999	0.1391	3.104	0.252300	1.426000
0.502	0.1398	3.123	0.243700	1.457000
0.504	0.1406	3.142	0.235700	1.488000
0.5061	0.1413	3.162	0.228300	1.519000
0.5081	0.142	3.182	0.221400	1.550000
0.5102	0.1428	3.201	0.215000	1.580000
0.5123	0.1436	3.221	0.209000	1.610000
0.5145	0.1444	3.241	0.203400	1.640000
0.5166	0.1452	3.261	0.198100	1.670000
0.5188	0.146	3.282	0.193200	1.700000
0.5209	0.1469	3.302	0.188700	1.729000
0.5231	0.1477	3.322	0.184400	1.759000
0.5254	0.1486	3.343	0.180300	1.788000
0.5276	0.1495	3.364	0.176500	1.817000
0.5299	0.1504	3.385	0.173000	1.846000
0.5321	0.1513	3.406	0.169600	1.875000
0.5344	0.1522	3.427	0.166500	1.904000
0.5367	0.1532	3.448	0.163500	1.933000
0.5391	0.1541	3.469	0.160800	1.962000
0.5414	0.1551	3.491	0.158200	1.991000
0.5438	0.1561	3.513	0.155700	2.020000
0.5462	0.1571	3.534	0.153400	2.049000
0.5486	0.1582	3.556	0.151300	2.078000
0.551	0.1592	3.578	0.149200	2.107000
0.5535	0.1603	3.601	0.147300	2.137000
0.556	0.1614	3.623	0.145600	2.166000
0.5585	0.1625	3.646	0.143900	2.195000
0.561	0.1636	3.668	0.142300	2.225000
0.5636	0.1647	3.691	0.140900	2.255000
0.5661	0.1659	3.714	0.139600	2.284000
0.5687	0.1671	3.737	0.138300	2.314000
0.5714	0.1682	3.761	0.137200	2.344000
0.574	0.1695	3.784	0.136100	2.375000
0.5767	0.1707	3.808	0.135100	2.405000
0.5794	0.172	3.832	0.134300	2.436000
0.5821	0.1732	3.856	0.133400	2.466000
0.5848	0.1745	3.88	0.132700	2.497000
0.5876	0.1758	3.905	0.132100	2.529000
0.590400	0.177200	3.929000	0.131500	2.560000
0.593200	0.178500	3.954000	0.131000	2.592000
0.596100	0.179900	3.979000	0.130600	2.624000
0.599000	0.181300	4.005000	0.130200	2.656000
0.601900	0.182800	4.030000	0.129900	2.688000
0.604800	0.184200	4.056000	0.129700	2.721000
0.607800	0.185700	4.081000	0.129600	2.754000
0.610800	0.187200	4.107000	0.129500	2.788000
0.613800	0.188700	4.134000	0.129500	2.821000
0.616800	0.190300	4.160000	0.129500	2.855000
0.619900	0.191800	4.187000	0.129600	2.890000
0.623000	0.193400	4.214000	0.129800	2.925000
0.626200	0.195100	4.241000	0.130000	2.960000
0.629400	0.196700	4.268000	0.130300	2.995000
0.632600	0.198400	4.296000	0.130700	3.031000
0.635800	0.200100	4.324000	0.131100	3.068000
0.639100	0.201900	4.352000	0.131600	3.104000
0.642400	0.203600	4.380000	0.132200	3.142000
0.645800	0.205400	4.409000	0.132800	3.179000
0.649100	0.207300	4.438000	0.133500	3.217000
0.652600	0.209100	4.467000	0.134200	3.256000
0.656000	0.211000	4.496000	0.135000	3.295000
0.659500	0.212900	4.526000	0.135900	3.335000
0.663000	0.214900	4.556000	0.136800	3.375000
0.666600	0.216900	4.586000	0.137800	3.416000
0.670200	0.218900	4.616000	0.138900	3.457000
0.673800	0.221000	4.647000	0.140100	3.499000
0.677500	0.223100	4.678000	0.141300	3.542000
0.681200	0.225200	4.709000	0.142600	3.585000
0.685000	0.227400	4.741000	0.143900	3.629000
0.688800	0.229600	4.773000	0.145400	3.673000
0.692700	0.231800	4.805000	0.146900	3.719000
0.696500	0.234100	4.838000	0.148500	3.765000
0.700500	0.236400	4.871000	0.150200	3.811000
0.704500	0.238800	4.904000	0.151900	3.859000
0.708500	0.241200	4.937000	0.153800	3.907000
0.712600	0.243700	4.971000	0.155700	3.956000
0.716700	0.246200	5.006000	0.157700	4.006000
0.720800	0.248700	5.040000	0.159800	4.057000
0.725100	0.251300	5.075000	0.162000	4.109000
0.729300	0.254000	5.110000	0.164300	4.161000
0.733600	0.256600	5.146000	0.166700	4.215000
0.738000	0.259400	5.182000	0.169200	4.269000
0.742400	0.262200	5.219000	0.171900	4.325000
0.746900	0.265000	5.256000	0.174600	4.382000
0.751400	0.267900	5.293000	0.177500	4.440000
0.756000	0.270800	5.331000	0.180400	4.499000
0.760600	0.273800	5.369000	0.183500	4.559000
0.765300	0.276900	5.407000	0.186800	4.620000
0.770100	0.280000	5.446000	0.190100	4.683000
0.774900	0.283200	5.485000	0.193700	4.747000
0.779800	0.286400	5.525000	0.197300	4.812000
0.784700	0.289700	5.566000	0.201100	4.879000
0.789700	0.293100	5.606000	0.205100	4.947000
0.794800	0.296500	5.648000	0.209300	5.017000
0.799900	0.300000	5.689000	0.213600	5.088000
0.805100	0.303600	5.731000	0.218100	5.161000
0.810400	0.307200	5.774000	0.222800	5.236000
0.815700	0.311000	5.817000	0.227800	5.313000
0.821100	0.314700	5.861000	0.232900	5.391000
0.826600	0.318600	5.905000	0.238300	5.471000
0.837700	0.323800	5.954000	0.243800	5.554000
0.849200	0.329700	6.038000	0.249700	5.638000
0.861000	0.335800	6.125000	0.255800	5.725000
0.873100	0.342200	6.214000	0.262200	5.814000
0.885600	0.348900	6.305000	0.268900	5.905000
0.898400	0.355900	6.399000	0.275900	5.999000
0.911700	0.363200	6.495000	0.283200	6.095000
0.925300	0.370800	6.594000	0.290800	6.194000
0.939300	0.378900	6.696000	0.298900	6.296000
0.953700	0.387300	6.800000	0.307300	6.400000
0.968600	0.396100	6.908000	0.316100	6.508000
0.984000	0.405400	7.019000	0.325400	6.619000
0.999900	0.415100	7.134000	0.335100	6.734000
1.016000	0.425400	7.252000	0.345400	6.852000
1.033000	0.436100	7.374000	0.356100	6.974000
1.051000	0.447500	7.500000	0.367500	7.100000
1.069000	0.459400	7.629000	0.379400	7.229000
1.088000	0.472000	7.764000	0.392000	7.364000
1.107000	0.485200	7.902000	0.405200	7.502000
1.127000	0.499200	8.046000	0.419200	7.646000
1.148000	0.514000	8.195000	0.434000	7.795000
1.170000	0.529700	8.349000	0.449700	7.949000
1.192000	0.546200	8.508000	0.466200	8.108000
1.216000	0.563800	8.674000	0.483800	8.274000
1.240000	0.582400	8.846000	0.502400	8.446000
1.265000	0.602200	9.025000	0.522200	8.625000
1.292000	0.623200	9.211000	0.543200	8.811000
1.319000	0.645600	9.404000	0.565600	9.004000
1.348000	0.669400	9.606000	0.589400	9.206000
1.378000	0.694900	9.816000	0.614900	9.416000
1.409000	0.722100	10.036000	0.642100	9.636000
1.442000	0.751200	10.265000	0.671200	9.865000
1.476000	0.782400	10.500000	0.702400	10.100000
1.512000	0.815900	10.760000	0.735900	10.360000
1.550000	0.851900	11.020000	0.771900	10.620000
1.590000	0.890600	11.300000	0.810600	10.900000
1.631000	0.932400	11.590000	0.852400	11.190000
1.675000	0.977700	11.890000	0.897700	11.490000
1.722000	1.026600	12.210000	0.946600	11.810000
1.771000	1.079800	12.550000	0.999800	12.150000
1.823000	1.138000	12.910000	1.058000	12.510000
1.879000	1.201000	13.290000	1.121000	12.890000
1.937000	1.270000	13.690000	1.190000	13.290000
2.000000	1.345000	14.120000	1.265000	13.720000
2.066000	1.428000	14.570000	1.348000	14.170000
2.138000	1.519000	15.050000	1.439000	14.650000
2.214000	1.621000	15.570000	1.541000	15.170000
2.296000	1.733000	16.120000	1.653000	15.720000
2.384000	1.858000	16.710000	1.778000	16.310000
2.480000	1.997000	17.350000	1.917000	16.950000
