# Wavelength(nm) T fR bR
1135 0.3089 0.6305 0.6020
1140 0.3065 0.6330 0.6044
1145 0.3044 0.6355 0.6081
1150 0.3021 0.6379 0.6105
1155 0.3001 0.6404 0.6141
1160 0.2978 0.6428 0.6165
1165 0.2955 0.6452 0.6189
1170 0.2936 0.6475 0.6224
1175 0.2914 0.6499 0.6247
1180 0.2889 0.6522 0.6258
1185 0.2870 0.6545 0.6293
1190 0.2849 0.6567 0.6315
1195 0.2827 0.6590 0.6337
1200 0.2806 0.6612 0.6359
1205 0.2788 0.6634 0.6394
1210 0.2765 0.6656 0.6402
1215 0.2744 0.6677 0.6424
1220 0.2724 0.6698 0.6445
1225 0.2707 0.6720 0.6478
1230 0.2687 0.6740 0.6499
1235 0.2668 0.6761 0.6520
1240 0.2648 0.6782 0.6540
1245 0.2629 0.6802 0.6560
1250 0.2610 0.6822 0.6580
1255 0.2591 0.6842 0.6599
1260 0.2573 0.6861 0.6619
1265 0.2554 0.6881 0.6638
1270 0.2536 0.6900 0.6657
1275 0.2518 0.6919 0.6676
1280 0.2502 0.6938 0.6708
1285 0.2485 0.6956 0.6727
1290 0.2467 0.6975 0.6745
1295 0.2447 0.6993 0.6750
1300 0.2433 0.7011 0.6781
1305 0.2413 0.7029 0.6786
1310 0.2399 0.7047 0.6817
1315 0.2380 0.7064 0.6821
1320 0.2363 0.7082 0.6838
1325 0.2347 0.7099 0.6855
1330 0.2331 0.7116 0.6872
1335 0.2315 0.7133 0.6889
1340 0.2299 0.7150 0.6906
1345 0.2283 0.7166 0.6922
1350 0.2263 0.7183 0.6911
1355 0.2245 0.7199 0.6913
1360 0.2232 0.7215 0.6943
1365 0.2217 0.7231 0.6958
1370 0.2200 0.7247 0.6960
1375 0.2185 0.7262 0.6976
1380 0.2171 0.7278 0.6991
1385 0.2158 0.7293 0.7020
1390 0.2144 0.7308 0.7035
1395 0.2128 0.7323 0.7036
1400 0.2112 0.7338 0.7037
1405 0.2096 0.7353 0.7037
1410 0.2082 0.7368 0.7052
