Wavelength	n	k
0.629400	0.403000	-4.265000
0.632600	0.407100	-4.292000
0.635800	0.411200	-4.319000
0.639100	0.415400	-4.347000
0.642400	0.419600	-4.375000
0.645800	0.423900	-4.402000
0.649100	0.428300	-4.431000
0.652600	0.432700	-4.459000
0.656000	0.437200	-4.488000
0.659500	0.441700	-4.517000
0.663000	0.446300	-4.546000
0.666600	0.451000	-4.575000
0.670200	0.455700	-4.605000
0.673800	0.460500	-4.635000
0.677500	0.465400	-4.665000
0.681200	0.470400	-4.696000
0.685000	0.475400	-4.726000
0.688800	0.480500	-4.758000
0.692700	0.485700	-4.789000
0.696500	0.490900	-4.821000
0.700500	0.496300	-4.853000
0.704500	0.501700	-4.885000
0.708500	0.507200	-4.918000
0.712600	0.512800	-4.950000
0.716700	0.518500	-4.984000
0.720800	0.524300	-5.017000
0.725100	0.530200	-5.051000
0.729300	0.536200	-5.086000
0.733600	0.542300	-5.120000
0.738000	0.548400	-5.155000
0.742400	0.554700	-5.190000
0.746900	0.561100	-5.226000
0.751400	0.567600	-5.262000
0.756000	0.574200	-5.299000
0.760600	0.580900	-5.336000
0.765300	0.587700	-5.373000
0.770100	0.594700	-5.410000
0.774900	0.601800	-5.448000
0.779800	0.609000	-5.487000
0.784700	0.616300	-5.526000
0.789700	0.623800	-5.565000
0.794800	0.631400	-5.605000
0.799900	0.639100	-5.645000
0.805100	0.647000	-5.686000
0.810400	0.655000	-5.727000
0.815700	0.663200	-5.769000
0.821100	0.671500	-5.811000
0.826600	0.680000	-5.853000
0.1907	0.6926	1.122
0.1910	0.6960	1.127
0.1913	0.6995	1.131
0.1916	0.7029	1.135
0.1919	0.7065	1.139
0.1922	0.7100	1.144
0.1925	0.7136	1.148
0.1928	0.7172	1.152
0.1931	0.7208	1.156
0.1934	0.7244	1.160
0.1937	0.7281	1.164
0.1940	0.7318	1.168
0.1943	0.7355	1.171
0.1946	0.7392	1.175
0.1949	0.7430	1.179
0.1953	0.7468	1.182
0.1956	0.7506	1.186
0.1959	0.7544	1.190
0.1962	0.7582	1.193
0.1965	0.7621	1.197
0.1968	0.7659	1.200
0.1971	0.7698	1.203
0.1974	0.7737	1.206
0.1977	0.7776	1.210
0.1981	0.7815	1.213
0.1984	0.7854	1.216
0.1987	0.7893	1.219
0.1990	0.7932	1.222
0.1993	0.7971	1.225
0.1997	0.8011	1.228
0.2000	0.8050	1.230
0.2003	0.8089	1.233
0.2006	0.8128	1.236
0.2009	0.8168	1.238
0.2013	0.8207	1.241
0.2016	0.8246	1.243
0.2019	0.8285	1.246
0.2023	0.8324	1.248
0.2026	0.8363	1.250
0.2029	0.8401	1.252
0.2033	0.8440	1.255
0.2036	0.8478	1.257
0.2039	0.8516	1.259
0.2043	0.8554	1.261
0.2046	0.8592	1.263
0.2049	0.8629	1.264
0.2053	0.8667	1.266
0.2056	0.8704	1.268
0.2060	0.8740	1.270
0.2063	0.8777	1.271
0.2066	0.8813	1.273
0.2070	0.8848	1.274
0.2073	0.8883	1.276
0.2077	0.8918	1.277
0.2080	0.8953	1.279
0.2084	0.8987	1.280
0.2087	0.9020	1.281
0.2091	0.9054	1.282
0.2094	0.9086	1.283
0.2098	0.9119	1.285
0.2101	0.9150	1.286
0.2105	0.9181	1.287
0.2109	0.9212	1.288
0.2112	0.9242	1.289
0.2116	0.9272	1.290
0.2119	0.9300	1.290
0.2123	0.9329	1.291
0.2127	0.9357	1.292
0.2130	0.9384	1.293
0.2134	0.9410	1.294
0.2138	0.9436	1.294
0.2141	0.9461	1.295
0.2145	0.9486	1.296
0.2149	0.9509	1.296
0.2153	0.9533	1.297
0.2156	0.9555	1.298
0.2160	0.9577	1.298
0.2164	0.9598	1.299
0.2168	0.9618	1.300
0.2171	0.9638	1.300
0.2175	0.9657	1.301
0.2179	0.9676	1.302
0.2183	0.9693	1.303
0.2187	0.9710	1.303
0.2191	0.9727	1.304
0.2194	0.9742	1.305
0.2198	0.9757	1.306
0.2202	0.9771	1.306
0.2206	0.9785	1.307
0.2210	0.9798	1.308
0.2214	0.9811	1.309
0.2218	0.9822	1.310
0.2222	0.9834	1.311
0.2226	0.9844	1.312
0.2230	0.9854	1.313
0.2234	0.9864	1.314
0.2238	0.9873	1.316
0.2242	0.9882	1.317
0.2246	0.9890	1.318
0.2250	0.9898	1.320
0.2254	0.9906	1.321
0.2258	0.9913	1.323
0.2263	0.9920	1.325
0.2267	0.9927	1.326
0.2271	0.9933	1.328
0.2275	0.9940	1.330
0.2279	0.9946	1.332
0.2283	0.9952	1.334
0.2288	0.9958	1.336
0.2292	0.9965	1.339
0.2296	0.9971	1.341
0.2300	0.9978	1.343
0.2305	0.9985	1.346
0.2309	0.9992	1.349
0.2313	0.9999	1.352
0.2317	1.001	1.354
0.2322	1.002	1.357
0.2326	1.002	1.360
0.2331	1.003	1.364
0.2335	1.004	1.367
0.2339	1.006	1.370
0.2344	1.007	1.374
0.2348	1.008	1.377
0.2353	1.009	1.381
0.2357	1.011	1.384
0.2362	1.012	1.388
0.2366	1.014	1.392
0.2371	1.016	1.396
0.2375	1.018	1.400
0.2380	1.020	1.404
0.2384	1.022	1.408
0.2389	1.025	1.412
0.2394	1.027	1.416
0.2398	1.030	1.421
0.2403	1.033	1.425
0.2407	1.036	1.429
0.2412	1.040	1.433
0.2417	1.043	1.437
0.2422	1.047	1.441
0.2426	1.051	1.446
0.2431	1.055	1.450
0.2436	1.059	1.454
0.2441	1.063	1.458
0.2445	1.068	1.461
0.2450	1.073	1.465
0.2455	1.078	1.469
0.2460	1.083	1.472
0.2465	1.089	1.476
0.2470	1.095	1.479
0.2475	1.100	1.482
0.2480	1.106	1.484
0.2485	1.113	1.487
0.2490	1.119	1.489
0.2495	1.126	1.491
0.2500	1.132	1.493
0.2505	1.139	1.495
0.2510	1.146	1.496
0.2515	1.153	1.497
0.2520	1.160	1.498
0.2525	1.167	1.498
0.2530	1.174	1.498
0.2535	1.181	1.498
0.2541	1.188	1.497
0.2546	1.195	1.496
0.2551	1.202	1.495
0.2556	1.209	1.493
0.2562	1.216	1.491
0.2567	1.222	1.489
0.2572	1.229	1.486
0.2578	1.235	1.483
0.2583	1.241	1.480
0.2588	1.247	1.477
0.2594	1.252	1.473
0.2599	1.257	1.469
0.2605	1.262	1.465
0.2610	1.267	1.461
0.2616	1.271	1.456
0.2621	1.275	1.452
0.2627	1.278	1.447
0.2632	1.281	1.442
0.2638	1.284	1.438
0.2644	1.287	1.433
0.2649	1.289	1.428
0.2655	1.290	1.424
0.2661	1.292	1.420
0.2666	1.293	1.416
0.2672	1.293	1.412
0.2678	1.294	1.409
0.2684	1.294	1.405
0.2689	1.294	1.403
0.2695	1.294	1.400
0.2701	1.294	1.398
0.2707	1.294	1.397
0.2713	1.294	1.396
0.2719	1.294	1.395
0.2725	1.294	1.395
0.2731	1.294	1.395
0.2737	1.295	1.396
0.2743	1.297	1.398
0.2749	1.299	1.399
0.2755	1.301	1.401
0.2761	1.305	1.404
0.2768	1.309	1.406
0.2774	1.314	1.409
0.2780	1.321	1.411
0.2786	1.328	1.413
0.2792	1.336	1.415
0.2799	1.346	1.417
0.2805	1.357	1.418
0.2811	1.369	1.417
0.2818	1.382	1.416
0.2824	1.396	1.413
0.2831	1.411	1.409
0.2837	1.426	1.403
0.2844	1.442	1.395
0.2850	1.459	1.385
0.2857	1.475	1.372
0.2863	1.491	1.358
0.2870	1.506	1.341
0.2877	1.520	1.322
0.2883	1.532	1.301
0.2890	1.543	1.278
0.2897	1.552	1.253
0.2904	1.559	1.227
0.2910	1.564	1.200
0.2917	1.566	1.172
0.2924	1.566	1.144
0.2931	1.564	1.115
0.2938	1.559	1.087
0.2945	1.553	1.059
0.2952	1.544	1.031
0.2959	1.533	1.004
0.2966	1.520	0.9777
0.2973	1.506	0.9524
0.2980	1.490	0.9281
0.2988	1.473	0.9048
0.2995	1.455	0.8826
0.3002	1.435	0.8616
0.3009	1.415	0.8416
0.3017	1.394	0.8228
0.3024	1.372	0.8050
0.3031	1.349	0.7883
0.3039	1.326	0.7727
0.3046	1.302	0.7581
0.3054	1.278	0.7444
0.3061	1.253	0.7318
0.3069	1.228	0.7200
0.3077	1.202	0.7092
0.3084	1.176	0.6993
0.3092	1.150	0.6903
