wl	n	k
482.4000000	2.1340000	0.1637000
484.3000000	2.1340000	0.1622000
486.2000000	2.1340000	0.1607000
488.1000000	2.1340000	0.1592000
490.1000000	2.1340000	0.1576000
492.0000000	2.1340000	0.1561000
494.0000000	2.1340000	0.1546000
495.9000000	2.1340000	0.1531000
497.9000000	2.1340000	0.1515000
499.9000000	2.1340000	0.1500000
502.0000000	2.1340000	0.1485000
504.0000000	2.1340000	0.1469000
506.1000000	2.1340000	0.1454000
508.1000000	2.1330000	0.1439000
510.2000000	2.1330000	0.1423000
512.3000000	2.1330000	0.1408000
514.5000000	2.1330000	0.1393000
516.6000000	2.1330000	0.1377000
518.8000000	2.1320000	0.1362000
520.9000000	2.1320000	0.1347000
523.1000000	2.1320000	0.1331000
525.4000000	2.1320000	0.1316000
527.6000000	2.1310000	0.1301000
529.9000000	2.1310000	0.1285000
532.1000000	2.1310000	0.1270000
534.4000000	2.1300000	0.1255000
536.7000000	2.1300000	0.1240000
539.1000000	2.1300000	0.1224000
541.4000000	2.1290000	0.1209000
543.8000000	2.1290000	0.1194000
546.2000000	2.1290000	0.1179000
548.6000000	2.1280000	0.1164000
551.0000000	2.1280000	0.1149000
553.5000000	2.1270000	0.1134000
556.0000000	2.1270000	0.1119000
558.5000000	2.1260000	0.1104000
561.0000000	2.1260000	0.1089000
563.6000000	2.1250000	0.1075000
566.1000000	2.1250000	0.1060000
568.7000000	2.1240000	0.1045000
571.4000000	2.1240000	0.1030000
574.0000000	2.1230000	0.1016000
576.7000000	2.1230000	0.1001000
579.4000000	2.1220000	0.0987000
582.1000000	2.1210000	0.0972000
584.8000000	2.1210000	0.0958000
587.6000000	2.1200000	0.0944000
590.4000000	2.1200000	0.0930000
593.2000000	2.1190000	0.0915000
596.1000000	2.1180000	0.0901000
599.0000000	2.1180000	0.0887000
601.9000000	2.1170000	0.0873000
604.8000000	2.1160000	0.0860000
607.8000000	2.1150000	0.0846000
610.8000000	2.1150000	0.0832000
613.8000000	2.1140000	0.0819000
616.8000000	2.1130000	0.0805000
619.9000000	2.1120000	0.0792000
623.0000000	2.1120000	0.0778000
626.2000000	2.1110000	0.0765000
629.4000000	2.1100000	0.0752000
632.6000000	2.1090000	0.0739000
635.8000000	2.1080000	0.0726000
639.1000000	2.1070000	0.0713000
642.4000000	2.1070000	0.0700000
645.8000000	2.1060000	0.0688000
649.1000000	2.1050000	0.0675000
652.6000000	2.1040000	0.0663000
656.0000000	2.1030000	0.0650000
659.5000000	2.1020000	0.0638000
663.0000000	2.1010000	0.0626000
666.6000000	2.1000000	0.0614000
670.2000000	2.0990000	0.0602000
673.8000000	2.0980000	0.0590000
677.5000000	2.0970000	0.0578000
681.2000000	2.0960000	0.0567000
685.0000000	2.0950000	0.0555000
688.8000000	2.0940000	0.0544000
692.7000000	2.0930000	0.0532000
696.5000000	2.0920000	0.0521000
700.5000000	2.0910000	0.0510000
704.5000000	2.0900000	0.0499000
708.5000000	2.0890000	0.0489000
712.6000000	2.0880000	0.0478000
716.7000000	2.0870000	0.0467000
720.8000000	2.0860000	0.0457000
725.1000000	2.0850000	0.0446000
729.3000000	2.0840000	0.0436000
733.6000000	2.0830000	0.0426000
738.0000000	2.0820000	0.0416000
742.4000000	2.0810000	0.0406000
746.9000000	2.0800000	0.0397000
751.4000000	2.0790000	0.0387000
756.0000000	2.0770000	0.0378000
760.6000000	2.0760000	0.0368000
765.3000000	2.0750000	0.0359000
770.1000000	2.0740000	0.0350000
774.9000000	2.0730000	0.0341000
779.8000000	2.0720000	0.0332000
784.7000000	2.0710000	0.0324000
789.7000000	2.0700000	0.0315000
794.8000000	2.0680000	0.0306000
799.9000000	2.0670000	0.0298000
805.1000000	2.0660000	0.0290000
810.4000000	2.0650000	0.0282000
815.7000000	2.0640000	0.0274000
821.1000000	2.0630000	0.0266000
826.6000000	2.0610000	0.0258000
826.6000000	2.0614520	0.0257513
831.6000000	2.0604030	0.0250620
836.6000000	2.0593649	0.0243912
841.6000000	2.0583375	0.0237383
846.6000000	2.0573208	0.0231030
851.6000000	2.0563147	0.0224847
856.6000000	2.0553189	0.0218830
861.6000000	2.0543335	0.0212974
866.6000000	2.0533583	0.0207275
871.6000000	2.0523933	0.0201729
876.6000000	2.0514382	0.0196332
881.6000000	2.0504930	0.0191080
