wl	n	k
300.9000000	2.0440000	0.3153000
301.7000000	2.0450000	0.3151000
302.4000000	2.0450000	0.3149000
303.1000000	2.0460000	0.3147000
303.9000000	2.0470000	0.3144000
304.6000000	2.0480000	0.3142000
305.4000000	2.0490000	0.3139000
306.1000000	2.0500000	0.3137000
306.9000000	2.0500000	0.3134000
307.7000000	2.0510000	0.3132000
308.4000000	2.0520000	0.3129000
309.2000000	2.0530000	0.3126000
310.0000000	2.0540000	0.3123000
310.7000000	2.0540000	0.3120000
311.5000000	2.0550000	0.3117000
312.3000000	2.0560000	0.3114000
313.1000000	2.0570000	0.3111000
313.9000000	2.0580000	0.3108000
314.7000000	2.0590000	0.3105000
315.5000000	2.0600000	0.3102000
316.3000000	2.0600000	0.3098000
317.1000000	2.0610000	0.3095000
317.9000000	2.0620000	0.3091000
318.7000000	2.0630000	0.3088000
319.5000000	2.0640000	0.3084000
320.4000000	2.0650000	0.3081000
321.2000000	2.0660000	0.3077000
322.0000000	2.0660000	0.3073000
322.9000000	2.0670000	0.3069000
323.7000000	2.0680000	0.3065000
324.6000000	2.0690000	0.3061000
325.4000000	2.0700000	0.3057000
326.3000000	2.0710000	0.3053000
327.1000000	2.0720000	0.3049000
328.0000000	2.0730000	0.3044000
328.9000000	2.0730000	0.3040000
329.7000000	2.0740000	0.3036000
330.6000000	2.0750000	0.3031000
331.5000000	2.0760000	0.3026000
332.4000000	2.0770000	0.3022000
333.3000000	2.0780000	0.3017000
334.2000000	2.0790000	0.3012000
335.1000000	2.0800000	0.3007000
336.0000000	2.0810000	0.3002000
336.9000000	2.0810000	0.2997000
337.8000000	2.0820000	0.2992000
338.8000000	2.0830000	0.2987000
339.7000000	2.0840000	0.2981000
340.6000000	2.0850000	0.2976000
341.6000000	2.0860000	0.2970000
342.5000000	2.0870000	0.2965000
343.4000000	2.0880000	0.2959000
344.4000000	2.0890000	0.2953000
345.4000000	2.0900000	0.2947000
346.3000000	2.0900000	0.2941000
347.3000000	2.0910000	0.2935000
348.3000000	2.0920000	0.2929000
349.3000000	2.0930000	0.2923000
350.2000000	2.0940000	0.2917000
351.2000000	2.0950000	0.2910000
352.2000000	2.0960000	0.2904000
353.2000000	2.0970000	0.2897000
354.2000000	2.0980000	0.2890000
355.3000000	2.0990000	0.2884000
356.3000000	2.0990000	0.2877000
357.3000000	2.1000000	0.2870000
358.3000000	2.1010000	0.2863000
359.4000000	2.1020000	0.2855000
360.4000000	2.1030000	0.2848000
361.5000000	2.1040000	0.2841000
362.5000000	2.1050000	0.2833000
363.6000000	2.1060000	0.2826000
364.7000000	2.1070000	0.2818000
365.7000000	2.1080000	0.2810000
366.8000000	2.1080000	0.2803000
367.9000000	2.1090000	0.2795000
369.0000000	2.1100000	0.2787000
370.1000000	2.1110000	0.2778000
371.2000000	2.1120000	0.2770000
372.3000000	2.1130000	0.2762000
373.4000000	2.1140000	0.2753000
374.6000000	2.1150000	0.2745000
375.7000000	2.1150000	0.2736000
376.9000000	2.1160000	0.2727000
378.0000000	2.1170000	0.2718000
379.2000000	2.1180000	0.2709000
380.3000000	2.1190000	0.2700000
381.5000000	2.1200000	0.2691000
382.7000000	2.1210000	0.2682000
383.9000000	2.1210000	0.2672000
385.0000000	2.1220000	0.2663000
386.2000000	2.1230000	0.2653000
387.5000000	2.1240000	0.2643000
388.7000000	2.1250000	0.2633000
389.9000000	2.1260000	0.2624000
391.1000000	2.1260000	0.2613000
392.4000000	2.1270000	0.2603000
393.6000000	2.1280000	0.2593000
394.9000000	2.1290000	0.2583000
396.1000000	2.1300000	0.2572000
397.4000000	2.1300000	0.2562000
398.7000000	2.1310000	0.2551000
400.0000000	2.1320000	0.2540000
401.2000000	2.1330000	0.2529000
402.5000000	2.1340000	0.2518000
403.9000000	2.1340000	0.2507000
405.2000000	2.1350000	0.2496000
406.5000000	2.1360000	0.2484000
407.8000000	2.1370000	0.2473000
409.2000000	2.1370000	0.2461000
410.5000000	2.1380000	0.2450000
411.9000000	2.1390000	0.2438000
413.3000000	2.1390000	0.2426000
414.7000000	2.1400000	0.2414000
416.1000000	2.1410000	0.2402000
417.5000000	2.1420000	0.2390000
418.9000000	2.1420000	0.2378000
420.3000000	2.1430000	0.2365000
421.7000000	2.1440000	0.2353000
423.2000000	2.1440000	0.2340000
424.6000000	2.1450000	0.2328000
426.1000000	2.1450000	0.2315000
427.5000000	2.1460000	0.2302000
429.0000000	2.1470000	0.2289000
430.5000000	2.1470000	0.2276000
432.0000000	2.1480000	0.2263000
433.5000000	2.1490000	0.2249000
435.0000000	2.1490000	0.2236000
436.6000000	2.1500000	0.2223000
438.1000000	2.1500000	0.2209000
439.7000000	2.1510000	0.2195000
441.2000000	2.1510000	0.2182000
442.8000000	2.1520000	0.2168000
444.4000000	2.1520000	0.2154000
446.0000000	2.1530000	0.2140000
447.6000000	2.1530000	0.2126000
449.2000000	2.1540000	0.2112000
450.9000000	2.1540000	0.2098000
452.5000000	2.1550000	0.2083000
454.2000000	2.1550000	0.2069000
455.8000000	2.1560000	0.2054000
457.5000000	2.1560000	0.2040000
459.2000000	2.1560000	0.2025000
460.9000000	2.1570000	0.2011000
462.6000000	2.1570000	0.1996000
464.4000000	2.1580000	0.1981000
466.1000000	2.1580000	0.1966000
467.9000000	2.1580000	0.1951000
469.6000000	2.1590000	0.1936000
471.4000000	2.1590000	0.1921000
473.2000000	2.1590000	0.1906000
475.0000000	2.1590000	0.1891000
476.9000000	2.1600000	0.1875000
478.7000000	2.1600000	0.1860000
480.6000000	2.1600000	0.1845000
482.4000000	2.1600000	0.1829000
484.3000000	2.1610000	0.1814000
486.2000000	2.1610000	0.1798000
488.1000000	2.1610000	0.1783000
490.1000000	2.1610000	0.1767000
492.0000000	2.1610000	0.1751000
494.0000000	2.1610000	0.1735000
495.9000000	2.1620000	0.1720000
497.9000000	2.1620000	0.1704000
499.9000000	2.1620000	0.1688000
502.0000000	2.1620000	0.1672000
504.0000000	2.1620000	0.1656000
506.1000000	2.1620000	0.1640000
508.1000000	2.1620000	0.1625000
510.2000000	2.1620000	0.1609000
512.3000000	2.1620000	0.1593000
514.5000000	2.1620000	0.1577000
516.6000000	2.1620000	0.1561000
518.8000000	2.1620000	0.1545000
520.9000000	2.1620000	0.1529000
523.1000000	2.1620000	0.1512000
525.4000000	2.1620000	0.1496000
527.6000000	2.1620000	0.1480000
529.9000000	2.1610000	0.1464000
532.1000000	2.1610000	0.1448000
534.4000000	2.1610000	0.1432000
536.7000000	2.1610000	0.1416000
539.1000000	2.1610000	0.1400000
541.4000000	2.1600000	0.1384000
543.8000000	2.1600000	0.1368000
546.2000000	2.1600000	0.1352000
548.6000000	2.1600000	0.1336000
551.0000000	2.1590000	0.1320000
553.5000000	2.1590000	0.1304000
556.0000000	2.1590000	0.1288000
558.5000000	2.1590000	0.1272000
561.0000000	2.1580000	0.1257000
563.6000000	2.1580000	0.1241000
566.1000000	2.1570000	0.1225000
568.7000000	2.1570000	0.1209000
571.4000000	2.1570000	0.1194000
574.0000000	2.1560000	0.1178000
576.7000000	2.1560000	0.1162000
579.4000000	2.1550000	0.1147000
582.1000000	2.1550000	0.1131000
584.8000000	2.1540000	0.1116000
587.6000000	2.1540000	0.1100000
590.4000000	2.1530000	0.1085000
593.2000000	2.1530000	0.1070000
596.1000000	2.1520000	0.1055000
