wl	k
0.2066	1.68242565429
0.21089508319	1.69997042258
0.215279458439	1.71581568103
0.219754982075	1.7292417916
0.224323549012	1.7397081851
0.228987093564	1.7468586234
0.233747590255	1.75051562226
0.238607054657	1.7506684341
0.243567544248	1.74745835789
0.248631159276	1.74116448264
0.253800043655	1.73219244951
0.259076385867	1.72106841394
0.264462419893	1.7084399271
0.269960426156	1.69508463225
0.275572732488	1.68192609618
0.281301715116	1.67005335775
0.287149799665	1.66073656741
0.293119462189	1.65542545021
0.299213230217	1.65571113698
0.305433683824	1.66322787664
0.311783456723	1.67947496779
0.318265237381	1.70555919567
0.324881770154	1.74189878147
0.331635856454	1.78797881088
0.338530355932	1.84226800413
0.345568187689	1.90236054983
0.352752331512	1.96530837593
0.360085829136	2.02802900043
0.367571785533	2.08766818184
0.375213370223	2.14185067799
0.383013818621	2.18881296437
0.390976433402	2.22744501392
0.399104585903	2.25727436786
0.407401717548	2.27841875336
0.415871341306	2.29152437143
0.42451704318	2.29770001521
0.433342483722	2.29845269022
0.442351399584	2.29562733985
0.451547605104	2.29135046488
0.460934993913	2.28797396667
0.470517540592	2.28801098046
0.480299302349	2.29405026023
0.49028442074	2.30863221231
0.50047712342	2.33407327549
0.510881725935	2.37224305809
0.521502633549	2.42433225244
0.532344343107	2.49068401597
0.543411444943	2.57076545564
0.554708624818	2.6633082265
0.56624066591	2.76657225476
0.578012450835	2.87863958373
0.590028963715	2.99765546158
0.602295292289	3.12197935652
0.614816630068	3.25025094445
0.627598278532	3.381396327
0.640645649374	3.51460110065
0.653964266795	3.64926986106
0.667559769839	3.78498377803
0.681437914784	3.92146196364
0.695604577575	4.05852877176
0.710065756315	4.19608729254
0.724827573806	4.334098467
0.739896280135	4.47256496111
0.755278255329	4.61151891905
0.770980012047	4.7510128037
0.787008198346	4.89111265582
0.803369600489	5.03189322469
0.820071145824	5.1734345312
0.837119905712	5.31581951514
0.854523098523	5.45913249271
0.872288092693	5.60345821008
0.890422409845	5.74888132708
0.908933727968	5.89548620305
0.927829884674	6.04335688753
0.947118880514	6.19257724235
0.966808882365	6.34323114072
0.986908226887	6.49540270374
1.00742542406	6.64917654644
1.02836916076	6.80463801404
1.0497483045	6.96187339638
1.07157190709	7.12097011316
1.09384920857	7.28201686668
1.11658964103	7.44510376135
1.13980283269	7.61032239114
1.16349861191	7.7777658975
1.18768701137	7.947529001
1.21237827235	8.11970801026
1.237582849	8.29440081204
1.26331141285	8.47170684632
1.28957485725	8.65172706974
1.31638430203	8.83456391098
1.34375109819	9.02032122079
1.37168683271	9.20910421951
1.40020333347	9.40101944424
1.42931267422	9.59617469762
1.45902717974	9.79467899979
1.48935943101	9.99664254484
1.52032227059	10.2021766627
1.55192880799	10.411393787
1.58419242529	10.6244074303
1.61712678277	10.8413321652
1.65074582469	11.0622836138
1.6850637852	11.2873784431
1.72009519439	11.5167343685
1.75585488439	11.7504701632
1.7923579957	11.988705675
1.82961998359	12.231561848
1.86765662461	12.4791607515
1.90648402331	12.7316256129
1.94611861905	12.9890808569
1.98657719294	13.2516521475
2.02787687497	13.5194664357
2.07003515123	13.7926520098
2.11306987137	14.0713385488
2.15699925609	14.3556571793
2.2018419049	14.6457405342
2.24761680399	14.9417228134
2.29434333425	15.2437398467
2.34204127949	15.5519291575
2.39073083481	15.8664300281
2.44043261516	16.187383565
2.49116766405	16.514932766
2.54295746248	16.849222586
2.59582393804	17.1904000048
2.64978947414	17.538614093
2.70487691958	17.894016079
2.76110959812	18.2567594149
2.81851131845	18.6269998421
2.8771063842	19.004895456
2.93691960427	19.3906067702
2.99797630331	19.7842967795
3.06030233246	20.186131022
3.1239240803	20.5962776398
3.188868484	21.014907439
3.25516304072	21.4421939478
3.32283581931	21.8783134732
3.39191547211	22.3234451567
3.46243124716	22.7777710275
3.53441300053	23.2414760548
3.60789120897	23.7147481976
3.68289698284	24.1977784528
3.75946207926	24.6907609014
3.83761891556	25.1938927518
3.91740058299	25.7073743819
3.99884086078	26.2314093773
4.08197423038	26.7662045682
4.1668358901	27.3119700625
4.25346176999	27.8689192766
4.34188854708	28.4372689625
4.43215366088	29.0172392322
4.52429532923	29.6090535779
4.61835256454	30.2129388887
4.71436519021	30.8291254636
4.81237385758	31.4578470195
4.91242006309	32.0993406956
5.01454616587	32.7538470521
5.11879540566	33.4216100645
5.22521192114	34.1028771121
5.3338407686	34.797898961
5.44472794102	35.5069297406
5.55792038754	36.2302269142
5.67346603336	36.9680512422
5.79141379999	37.7206667388
5.91181362602	38.4883406199
6.0347164882	39.2713432441
6.16017442306	40.0699480445
6.28824054896	40.8844314511
6.41896908852	41.7150728047
6.55241539166	42.5621542596
6.68863595894	43.4259606766
6.82768846557	44.3067795042
6.96963178576	45.2049006486
7.11452601772	46.1206163308
7.26243250901	47.0542209315
7.41341388261	48.0060108217
7.56753406337	48.9762841798
7.72485830511	49.9653407938
7.88545321822	50.9734818476
8.04938679789	52.0010096917
8.21672845289	53.0482275969
8.38754903495	54.1154394911
8.56192086874	55.202949677
8.73991778256	56.3110625326
8.92161513952	57.440082191
9.10708986948	58.590312201
9.29642050165	59.7620551673
9.48968719778	60.9556123693
9.68697178616	62.1712833585
9.88835779621	63.4093655334
10.0939304939	64.6701536931
10.3037769178	65.9539395664
10.517985916	67.2610113192
10.7366481837	68.5916530377
10.9598563014	69.9461441884
11.1877047746	71.3247590543
11.4202900733	72.7277661484
11.6577106731	74.1554276028
11.9000670968	75.607998536
12.1474619572	77.085726397
12.4	78.5888502881
