Wavelength(micron)	n	k
0.358338747	1.663278686	3.88E-02
0.360422112	1.662496301	0.037599948
0.362529844	1.661702627	0.036426879
0.364662372	1.660897709	3.53E-02
0.366820138	1.660081595	3.41E-02
0.369003591	1.659254338	3.30E-02
0.371213193	1.658415995	3.19E-02
0.373449417	1.657566627	3.07E-02
0.375712747	1.656706302	2.96E-02
0.378003679	1.655835092	2.86E-02
0.38032272	1.654953077	2.75E-02
0.382670391	1.654060341	2.64E-02
0.385047225	1.653156975	2.54E-02
0.387453771	1.652243079	2.43E-02
0.389890587	1.651318759	2.33E-02
0.392358249	1.65038413	0.022328383
0.394857346	1.649439316	2.13E-02
0.397388483	1.648484451	2.04E-02
0.399952279	1.647519678	1.94E-02
0.402549372	1.646545151	1.85E-02
0.405180414	1.645561037	1.76E-02
0.407846074	1.644567516	1.67E-02
0.410547042	1.64356478	1.58E-02
0.413284022	1.642553037	1.49E-02
0.41605774	1.64153251	1.41E-02
0.418868941	1.640503441	1.32E-02
0.42171839	1.639466087	0.012420692
0.424606872	1.63842073	1.16E-02
0.427535195	1.63736767	1.09E-02
0.43050419	1.636307233	1.01E-02
0.433514708	1.635239768	9.39E-03
0.436567629	1.634165657	8.68E-03
0.439663853	1.633085307	8.00E-03
0.442804309	1.631999164	7.34E-03
0.445989952	1.630907708	6.70E-03
0.449221763	1.62981146	6.09E-03
0.452500754	1.628710987	5.50E-03
0.455827965	1.627606906	4.94E-03
0.459204469	1.626499891	4.41E-03
0.462631368	1.625390675	3.90E-03
0.466109799	1.624280067	3.42E-03
0.469640934	1.623168951	2.96E-03
0.473225979	1.622058304	2.54E-03
0.476866179	1.620949211	2.14E-03
0.480562816	1.619842875	1.78E-03
0.484317213	1.618740649	1.45E-03
0.488130735	1.617644055	1.15E-03
0.492004788	1.61655483	8.79E-04
0.495940826	1.615474977	6.44E-04
0.499940349	1.614406842	4.45E-04
0.504004905	1.613353239	2.81E-04
0.508136093	1.612317657	1.54E-04
0.512335564	1.61130466	6.37E-05
0.516605028	1.610320891	1.25E-05
0.520946246	1.609380341	0
0.525361045	1.608496115	0
0.52985131	1.607650317	0
0.534418994	1.606835492	0
0.539066116	1.6060475	0
0.543794766	1.605283505	0
0.548607109	1.604541376	0
0.553505387	1.603819423	0
0.558491922	1.603116261	0
0.563569121	1.602430723	0
0.56873948	1.601761807	0
0.574005586	1.601108642	0
0.579370124	1.600470457	0
0.58483588	1.599846567	0
0.590405746	1.599236357	0
0.596082724	1.59863927	0
0.601869935	1.5980548	0
0.607770621	1.597482482	0
0.613788151	1.596921891	0
0.619926033	1.596372632	0
0.626187912	1.595834342	0
0.632577585	1.595306681	0
0.639099003	1.594789333	0
0.645756284	1.594282003	0
0.652553719	1.593784414	0
0.65949578	1.593296305	0
0.666587132	1.592817432	0
0.673832645	1.592347563	0
0.681237399	1.591886479	0
0.688806703	1.591433974	0
0.696546104	1.590989852	0
0.704461401	1.590553927	0
0.712558659	1.590126021	0
0.720844224	1.589705967	0
0.729324745	1.589293604	0
0.738007182	1.588888779	0
0.746898835	1.588491345	0
0.756007357	1.588101164	0
0.765340781	1.587718101	0
0.774907541	1.587342028	0
0.784716497	1.586972823	0
0.794776965	1.586610368	0
0.805098744	1.58625455	0
0.815692149	1.585905262	0
0.826568044	1.585562398	0
0.837737882	1.585225858	0
0.849213744	1.584895547	0
0.861008379	1.584571372	0
0.873135258	1.584253243	0
0.885608619	1.583941074	0
0.898443526	1.583634782	0
0.911655931	1.583334288	0
0.925262736	1.583039515	0
0.939281868	1.582750387	0
0.953732358	1.582466834	0
0.968634427	1.582188785	0
0.984009576	1.581916175	0
0.999880698	1.581648937	0
1.016272185	1.58138701	0
1.033210055	1.581130333	0
1.05072209	1.580878848	0
1.068837988	1.580632499	0
1.087589532	1.58039123	0
1.107010773	1.580154989	0
1.127138242	1.579923725	0
1.148011172	1.579697388	0
1.16967176	1.579475931	0
1.192165448	1.579259306	0
1.215541241	1.579047471	0
1.239852066	1.57884038	0
1.265155169	1.578637993	0
1.291512569	1.578440269	0
1.31899156	1.578247168	0
1.347665289	1.578058652	0
1.377613407	1.577874685	0
1.408922802	1.577695232	0
1.441688449	1.577520258	0
1.476014364	1.577349729	0
1.512014715	1.577183615	0
1.549815083	1.577021883	0
1.589553931	1.576864504	0
1.631384297	1.576711448	0
1.675475765	1.576562689	0
1.722016758	1.576418199	0
1.771217237	1.576277952	0
1.823311862	1.576141923	0
1.878563736	1.576010087	0
1.937268853	1.575882423	0
1.999761397	1.575758906	0
2.06642011	1.575639516	0
2.137675976	1.575524232	0
2.214021546	1.575413034	0
2.296022344	1.575305903	0
2.384330896	1.57520282	0
2.479704132	1.575103769	0
