wl	n	k
300.9000000	1.7060000	0.0645000
301.7000000	1.7060000	0.0638000
302.4000000	1.7060000	0.0631000
303.1000000	1.7050000	0.0624000
303.9000000	1.7050000	0.0617000
304.6000000	1.7050000	0.0610000
305.4000000	1.7040000	0.0603000
306.1000000	1.7040000	0.0597000
306.9000000	1.7040000	0.0590000
307.7000000	1.7030000	0.0583000
308.4000000	1.7030000	0.0577000
309.2000000	1.7030000	0.0570000
310.0000000	1.7020000	0.0563000
310.7000000	1.7020000	0.0557000
311.5000000	1.7010000	0.0550000
312.3000000	1.7010000	0.0544000
313.1000000	1.7010000	0.0537000
313.9000000	1.7000000	0.0531000
314.7000000	1.7000000	0.0525000
315.5000000	1.6990000	0.0519000
316.3000000	1.6990000	0.0512000
317.1000000	1.6990000	0.0506000
317.9000000	1.6980000	0.0500000
318.7000000	1.6980000	0.0494000
319.5000000	1.6970000	0.0488000
320.4000000	1.6970000	0.0482000
321.2000000	1.6970000	0.0476000
322.0000000	1.6960000	0.0470000
322.9000000	1.6960000	0.0464000
323.7000000	1.6950000	0.0458000
324.6000000	1.6950000	0.0452000
325.4000000	1.6950000	0.0446000
326.3000000	1.6940000	0.0441000
327.1000000	1.6940000	0.0435000
328.0000000	1.6930000	0.0429000
328.9000000	1.6930000	0.0424000
329.7000000	1.6920000	0.0418000
330.6000000	1.6920000	0.0412000
331.5000000	1.6910000	0.0407000
332.4000000	1.6910000	0.0401000
333.3000000	1.6910000	0.0396000
334.2000000	1.6900000	0.0391000
335.1000000	1.6900000	0.0385000
336.0000000	1.6890000	0.0380000
336.9000000	1.6890000	0.0375000
337.8000000	1.6880000	0.0370000
338.8000000	1.6880000	0.0365000
339.7000000	1.6870000	0.0359000
340.6000000	1.6870000	0.0354000
341.6000000	1.6860000	0.0349000
342.5000000	1.6860000	0.0344000
343.4000000	1.6850000	0.0339000
344.4000000	1.6850000	0.0335000
345.4000000	1.6850000	0.0330000
346.3000000	1.6840000	0.0325000
347.3000000	1.6840000	0.0320000
348.3000000	1.6830000	0.0315000
349.3000000	1.6830000	0.0311000
350.2000000	1.6820000	0.0306000
351.2000000	1.6820000	0.0302000
352.2000000	1.6810000	0.0297000
353.2000000	1.6810000	0.0293000
354.2000000	1.6800000	0.0288000
355.3000000	1.6800000	0.0284000
356.3000000	1.6790000	0.0279000
357.3000000	1.6790000	0.0275000
358.3000000	1.6780000	0.0271000
359.4000000	1.6780000	0.0266000
360.4000000	1.6770000	0.0262000
361.5000000	1.6770000	0.0258000
362.5000000	1.6760000	0.0254000
363.6000000	1.6760000	0.0250000
364.7000000	1.6750000	0.0246000
365.7000000	1.6750000	0.0242000
366.8000000	1.6740000	0.0238000
367.9000000	1.6740000	0.0234000
369.0000000	1.6730000	0.0230000
370.1000000	1.6730000	0.0226000
371.2000000	1.6720000	0.0222000
372.3000000	1.6720000	0.0219000
373.4000000	1.6710000	0.0215000
374.6000000	1.6710000	0.0211000
375.7000000	1.6700000	0.0208000
376.9000000	1.6700000	0.0204000
378.0000000	1.6690000	0.0200000
379.2000000	1.6690000	0.0197000
380.3000000	1.6680000	0.0193000
381.5000000	1.6680000	0.0190000
382.7000000	1.6670000	0.0187000
383.9000000	1.6670000	0.0183000
385.0000000	1.6660000	0.0180000
386.2000000	1.6660000	0.0177000
387.5000000	1.6650000	0.0173000
388.7000000	1.6650000	0.0170000
389.9000000	1.6640000	0.0167000
391.1000000	1.6640000	0.0164000
392.4000000	1.6630000	0.0161000
393.6000000	1.6630000	0.0158000
394.9000000	1.6620000	0.0155000
396.1000000	1.6620000	0.0152000
397.4000000	1.6610000	0.0149000
398.7000000	1.6610000	0.0146000
400.0000000	1.6600000	0.0143000
401.2000000	1.6600000	0.0140000
402.5000000	1.6590000	0.0137000
403.9000000	1.6590000	0.0135000
405.2000000	1.6580000	0.0132000
406.5000000	1.6580000	0.0129000
407.8000000	1.6570000	0.0127000
409.2000000	1.6570000	0.0124000
410.5000000	1.6560000	0.0121000
411.9000000	1.6560000	0.0119000
413.3000000	1.6550000	0.0116000
414.7000000	1.6550000	0.0114000
416.1000000	1.6540000	0.0111000
417.5000000	1.6540000	0.0109000
418.9000000	1.6530000	0.0107000
420.3000000	1.6530000	0.0104000
421.7000000	1.6520000	0.0102000
423.2000000	1.6520000	0.0099600
424.6000000	1.6510000	0.0097300
426.1000000	1.6510000	0.0095100
427.5000000	1.6500000	0.0092900
429.0000000	1.6500000	0.0090800
430.5000000	1.6490000	0.0088600
432.0000000	1.6490000	0.0086600
433.5000000	1.6480000	0.0084500
435.0000000	1.6480000	0.0082500
436.6000000	1.6470000	0.0080500
438.1000000	1.6470000	0.0078500
439.7000000	1.6460000	0.0076600
441.2000000	1.6460000	0.0074700
442.8000000	1.6450000	0.0072800
444.4000000	1.6450000	0.0070900
446.0000000	1.6440000	0.0069100
447.6000000	1.6440000	0.0067300
449.2000000	1.6430000	0.0065600
450.9000000	1.6430000	0.0063800
452.5000000	1.6420000	0.0062100
454.2000000	1.6420000	0.0060500
455.8000000	1.6410000	0.0058800
457.5000000	1.6410000	0.0057200
459.2000000	1.6400000	0.0055600
460.9000000	1.6400000	0.0054000
462.6000000	1.6390000	0.0052500
464.4000000	1.6390000	0.0051000
466.1000000	1.6380000	0.0049500
467.9000000	1.6380000	0.0048100
469.6000000	1.6380000	0.0046600
471.4000000	1.6370000	0.0045200
473.2000000	1.6370000	0.0043900
475.0000000	1.6360000	0.0042500
476.9000000	1.6360000	0.0041200
478.7000000	1.6350000	0.0039900
480.6000000	1.6350000	0.0038600
482.4000000	1.6340000	0.0037400
484.3000000	1.6340000	0.0036100
486.2000000	1.6330000	0.0034900
488.1000000	1.6330000	0.0033800
490.1000000	1.6320000	0.0032600
492.0000000	1.6320000	0.0031500
494.0000000	1.6310000	0.0030400
495.9000000	1.6310000	0.0029300
497.9000000	1.6310000	0.0028200
499.9000000	1.6300000	0.0027200
502.0000000	1.6300000	0.0026200
504.0000000	1.6290000	0.0025200
506.1000000	1.6290000	0.0024200
508.1000000	1.6280000	0.0023300
510.2000000	1.6280000	0.0022400
512.3000000	1.6270000	0.0021500
514.5000000	1.6270000	0.0020600
516.6000000	1.6270000	0.0019700
518.8000000	1.6260000	0.0018900
520.9000000	1.6260000	0.0018100
523.1000000	1.6250000	0.0017300
525.4000000	1.6250000	0.0016500
