wl	n	k
300.9	1.706	6.45E-02
301.7	1.706	6.38E-02
302.4	1.706	6.31E-02
303.1	1.705	6.24E-02
303.9	1.705	6.17E-02
304.6	1.705	6.10E-02
305.4	1.704	6.03E-02
306.1	1.704	5.97E-02
306.9	1.704	5.90E-02
307.7	1.703	5.83E-02
308.4	1.703	5.77E-02
309.2	1.703	5.70E-02
310	1.702	5.63E-02
310.7	1.702	5.57E-02
311.5	1.701	5.50E-02
312.3	1.701	5.44E-02
313.1	1.701	5.37E-02
313.9	1.7	5.31E-02
314.7	1.7	5.25E-02
315.5	1.699	5.19E-02
316.3	1.699	5.12E-02
317.1	1.699	5.06E-02
317.9	1.698	5.00E-02
318.7	1.698	4.94E-02
319.5	1.697	4.88E-02
320.4	1.697	4.82E-02
321.2	1.697	4.76E-02
322	1.696	4.70E-02
322.9	1.696	4.64E-02
323.7	1.695	4.58E-02
324.6	1.695	4.52E-02
325.4	1.695	4.46E-02
326.3	1.694	4.41E-02
327.1	1.694	4.35E-02
328	1.693	4.29E-02
328.9	1.693	4.24E-02
329.7	1.692	4.18E-02
330.6	1.692	4.12E-02
331.5	1.691	4.07E-02
332.4	1.691	4.01E-02
333.3	1.691	3.96E-02
334.2	1.69	3.91E-02
335.1	1.69	3.85E-02
336	1.689	3.80E-02
336.9	1.689	3.75E-02
337.8	1.688	3.70E-02
338.8	1.688	3.65E-02
339.7	1.687	3.59E-02
340.6	1.687	3.54E-02
341.6	1.686	3.49E-02
342.5	1.686	3.44E-02
343.4	1.685	3.39E-02
344.4	1.685	3.35E-02
345.4	1.685	3.30E-02
346.3	1.684	3.25E-02
347.3	1.684	3.20E-02
348.3	1.683	3.15E-02
349.3	1.683	3.11E-02
350.2	1.682	3.06E-02
351.2	1.682	3.02E-02
352.2	1.681	2.97E-02
353.2	1.681	2.93E-02
354.2	1.68	2.88E-02
355.3	1.68	2.84E-02
356.3	1.679	2.79E-02
357.3	1.679	2.75E-02
358.3	1.678	2.71E-02
359.4	1.678	2.66E-02
360.4	1.677	2.62E-02
361.5	1.677	2.58E-02
362.5	1.676	2.54E-02
363.6	1.676	2.50E-02
364.7	1.675	2.46E-02
365.7	1.675	2.42E-02
366.8	1.674	2.38E-02
367.9	1.674	2.34E-02
369	1.673	2.30E-02
370.1	1.673	2.26E-02
371.2	1.672	2.22E-02
372.3	1.672	2.19E-02
373.4	1.671	2.15E-02
374.6	1.671	2.11E-02
375.7	1.67	2.08E-02
376.9	1.67	2.04E-02
378	1.669	2.00E-02
379.2	1.669	1.97E-02
380.3	1.668	1.93E-02
381.5	1.668	1.90E-02
382.7	1.667	1.87E-02
383.9	1.667	1.83E-02
385	1.666	1.80E-02
386.2	1.666	1.77E-02
387.5	1.665	1.73E-02
388.7	1.665	1.70E-02
389.9	1.664	1.67E-02
391.1	1.664	1.64E-02
392.4	1.663	1.61E-02
393.6	1.663	1.58E-02
394.9	1.662	1.55E-02
396.1	1.662	1.52E-02
397.4	1.661	1.49E-02
398.7	1.661	1.46E-02
400	1.66	1.43E-02
401.2	1.66	1.40E-02
402.5	1.659	1.37E-02
403.9	1.659	1.35E-02
405.2	1.658	1.32E-02
406.5	1.658	1.29E-02
407.8	1.657	1.27E-02
409.2	1.657	1.24E-02
410.5	1.656	1.21E-02
411.9	1.656	1.19E-02
413.3	1.655	1.16E-02
414.7	1.655	1.14E-02
416.1	1.654	1.11E-02
417.5	1.654	1.09E-02
418.9	1.653	1.07E-02
420.3	1.653	1.04E-02
421.7	1.652	1.02E-02
423.2	1.652	9.96E-03
424.6	1.651	9.73E-03
426.1	1.651	9.51E-03
427.5	1.65	9.29E-03
429	1.65	9.08E-03
430.5	1.649	8.86E-03
432	1.649	8.66E-03
433.5	1.648	8.45E-03
435	1.648	8.25E-03
436.6	1.647	8.05E-03
438.1	1.647	7.85E-03
439.7	1.646	7.66E-03
441.2	1.646	7.47E-03
442.8	1.645	7.28E-03
444.4	1.645	7.09E-03
446	1.644	6.91E-03
447.6	1.644	6.73E-03
449.2	1.643	6.56E-03
450.9	1.643	6.38E-03
452.5	1.642	6.21E-03
454.2	1.642	6.05E-03
455.8	1.641	5.88E-03
457.5	1.641	5.72E-03
459.2	1.64	5.56E-03
460.9	1.64	5.40E-03
462.6	1.639	5.25E-03
464.4	1.639	5.10E-03
466.1	1.638	4.95E-03
467.9	1.638	4.81E-03
469.6	1.638	4.66E-03
471.4	1.637	4.52E-03
473.2	1.637	4.39E-03
475	1.636	4.25E-03
476.9	1.636	4.12E-03
478.7	1.635	3.99E-03
480.6	1.635	3.86E-03
482.4	1.634	3.74E-03
484.3	1.634	3.61E-03
486.2	1.633	3.49E-03
488.1	1.633	3.38E-03
490.1	1.632	3.26E-03
492	1.632	3.15E-03
494	1.631	3.04E-03
495.9	1.631	2.93E-03
497.9	1.631	2.82E-03
499.9	1.63	2.72E-03
502	1.63	2.62E-03
504	1.629	2.52E-03
506.1	1.629	2.42E-03
508.1	1.628	2.33E-03
510.2	1.628	2.24E-03
512.3	1.627	2.15E-03
514.5	1.627	2.06E-03
516.6	1.627	1.97E-03
518.8	1.626	1.89E-03
520.9	1.626	1.81E-03
523.1	1.625	1.73E-03
525.4	1.625	1.65E-03
527.6	1.624	1.57E-03
529.9	1.624	1.50E-03
532.1	1.623	1.43E-03
534.4	1.623	1.36E-03
536.7	1.623	1.29E-03
539.1	1.622	1.23E-03
541.4	1.622	1.16E-03
543.8	1.621	1.10E-03
546.2	1.621	1.04E-03
548.6	1.62	9.85E-04
551	1.62	9.29E-04
553.5	1.62	8.75E-04
556	1.619	8.22E-04
558.5	1.619	7.72E-04
561	1.618	7.23E-04
563.6	1.618	6.76E-04
566.1	1.618	6.30E-04
568.7	1.617	5.87E-04
571.4	1.617	5.45E-04
574	1.616	5.05E-04
576.7	1.616	4.66E-04
579.4	1.615	4.29E-04
582.1	1.615	3.94E-04
584.8	1.615	3.61E-04
587.6	1.614	3.29E-04
590.4	1.614	2.98E-04
593.2	1.613	2.70E-04
596.1	1.613	2.42E-04
599	1.613	2.17E-04
601.9	1.612	1.92E-04
604.8	1.612	1.70E-04
607.8	1.611	1.49E-04
610.8	1.611	1.29E-04
613.8	1.611	1.11E-04
616.8	1.61	9.39E-05
619.9	1.61	7.86E-05
623	1.61	6.46E-05
626.2	1.609	5.21E-05
629.4	1.609	4.10E-05
632.6	1.608	3.12E-05
635.8	1.608	2.28E-05
639.1	1.608	1.57E-05
642.4	1.607	9.98E-06
645.8	1.607	5.55E-06
649.1	1.606	2.42E-06
652.6	1.606	5.76E-07
656	1.606	1.22E-09
659.5	1.605	6.82E-07
663	1.605	2.61E-06
666.6	1.605	5.76E-06
670.2	1.604	1.01E-05
673.8	1.604	1.57E-05
677.5	1.603	2.24E-05
681.2	1.603	3.04E-05
685	1.603	3.95E-05
688.8	1.602	4.97E-05
692.7	1.602	6.11E-05
696.5	1.602	7.36E-05
700.5	1.601	8.72E-05
704.5	1.601	1.02E-04
708.5	1.601	1.18E-04
712.6	1.6	1.35E-04
716.7	1.6	1.52E-04
720.8	1.6	1.71E-04
725.1	1.599	1.91E-04
729.3	1.599	2.12E-04
733.6	1.599	2.34E-04
738	1.598	2.57E-04
742.4	1.598	2.81E-04
746.9	1.597	3.06E-04
751.4	1.597	3.32E-04
756	1.597	3.59E-04
760.6	1.596	3.87E-04
765.3	1.596	4.16E-04
770.1	1.596	4.46E-04
774.9	1.595	4.76E-04
779.8	1.595	5.08E-04
784.7	1.595	5.40E-04
789.7	1.594	5.73E-04
794.8	1.594	6.07E-04
799.9	1.594	6.42E-04
805.1	1.593	6.78E-04
810.4	1.593	7.15E-04
815.7	1.593	7.52E-04
821.1	1.593	7.91E-04
826.6	1.592	8.30E-04
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
