wl	n	k
300.9000000	1.8780000	0.2174000
301.7000000	1.8790000	0.2166000
302.4000000	1.8790000	0.2158000
303.1000000	1.8800000	0.2150000
303.9000000	1.8810000	0.2142000
304.6000000	1.8810000	0.2134000
305.4000000	1.8820000	0.2126000
306.1000000	1.8820000	0.2117000
306.9000000	1.8830000	0.2109000
307.7000000	1.8830000	0.2101000
308.4000000	1.8840000	0.2092000
309.2000000	1.8850000	0.2084000
310.0000000	1.8850000	0.2075000
310.7000000	1.8860000	0.2066000
311.5000000	1.8860000	0.2058000
312.3000000	1.8870000	0.2049000
313.1000000	1.8870000	0.2040000
313.9000000	1.8880000	0.2031000
314.7000000	1.8880000	0.2022000
315.5000000	1.8890000	0.2013000
316.3000000	1.8890000	0.2004000
317.1000000	1.8900000	0.1995000
317.9000000	1.8900000	0.1986000
318.7000000	1.8910000	0.1976000
319.5000000	1.8910000	0.1967000
320.4000000	1.8920000	0.1957000
321.2000000	1.8920000	0.1948000
322.0000000	1.8930000	0.1938000
322.9000000	1.8930000	0.1929000
323.7000000	1.8940000	0.1919000
324.6000000	1.8940000	0.1909000
325.4000000	1.8950000	0.1899000
326.3000000	1.8950000	0.1890000
327.1000000	1.8960000	0.1880000
328.0000000	1.8960000	0.1870000
328.9000000	1.8960000	0.1860000
329.7000000	1.8970000	0.1850000
330.6000000	1.8970000	0.1839000
331.5000000	1.8980000	0.1829000
332.4000000	1.8980000	0.1819000
333.3000000	1.8980000	0.1809000
334.2000000	1.8990000	0.1798000
335.1000000	1.8990000	0.1788000
336.0000000	1.8990000	0.1778000
336.9000000	1.9000000	0.1767000
337.8000000	1.9000000	0.1756000
338.8000000	1.9000000	0.1746000
339.7000000	1.9010000	0.1735000
340.6000000	1.9010000	0.1725000
341.6000000	1.9010000	0.1714000
342.5000000	1.9020000	0.1703000
343.4000000	1.9020000	0.1692000
344.4000000	1.9020000	0.1681000
345.4000000	1.9030000	0.1670000
346.3000000	1.9030000	0.1659000
347.3000000	1.9030000	0.1648000
348.3000000	1.9030000	0.1637000
349.3000000	1.9040000	0.1626000
350.2000000	1.9040000	0.1615000
351.2000000	1.9040000	0.1604000
352.2000000	1.9040000	0.1593000
353.2000000	1.9040000	0.1582000
354.2000000	1.9050000	0.1570000
355.3000000	1.9050000	0.1559000
356.3000000	1.9050000	0.1548000
357.3000000	1.9050000	0.1537000
358.3000000	1.9050000	0.1525000
359.4000000	1.9050000	0.1514000
360.4000000	1.9060000	0.1502000
361.5000000	1.9060000	0.1491000
362.5000000	1.9060000	0.1480000
363.6000000	1.9060000	0.1468000
364.7000000	1.9060000	0.1457000
365.7000000	1.9060000	0.1445000
366.8000000	1.9060000	0.1433000
367.9000000	1.9060000	0.1422000
369.0000000	1.9060000	0.1410000
370.1000000	1.9060000	0.1399000
371.2000000	1.9060000	0.1387000
372.3000000	1.9060000	0.1376000
373.4000000	1.9060000	0.1364000
374.6000000	1.9060000	0.1352000
375.7000000	1.9060000	0.1341000
376.9000000	1.9060000	0.1329000
378.0000000	1.9060000	0.1317000
379.2000000	1.9060000	0.1306000
380.3000000	1.9060000	0.1294000
381.5000000	1.9060000	0.1282000
382.7000000	1.9060000	0.1271000
383.9000000	1.9060000	0.1259000
385.0000000	1.9060000	0.1247000
386.2000000	1.9060000	0.1236000
387.5000000	1.9060000	0.1224000
388.7000000	1.9060000	0.1212000
389.9000000	1.9060000	0.1201000
391.1000000	1.9060000	0.1189000
392.4000000	1.9050000	0.1178000
393.6000000	1.9050000	0.1166000
394.9000000	1.9050000	0.1154000
396.1000000	1.9050000	0.1143000
397.4000000	1.9050000	0.1131000
398.7000000	1.9050000	0.1120000
400.0000000	1.9040000	0.1108000
401.2000000	1.9040000	0.1097000
402.5000000	1.9040000	0.1085000
403.9000000	1.9040000	0.1074000
405.2000000	1.9030000	0.1062000
406.5000000	1.9030000	0.1051000
407.8000000	1.9030000	0.1040000
409.2000000	1.9030000	0.1028000
410.5000000	1.9020000	0.1017000
411.9000000	1.9020000	0.1006000
413.3000000	1.9020000	0.0994000
414.7000000	1.9010000	0.0983000
416.1000000	1.9010000	0.0972000
417.5000000	1.9010000	0.0961000
418.9000000	1.9000000	0.0949000
420.3000000	1.9000000	0.0938000
421.7000000	1.9000000	0.0927000
423.2000000	1.8990000	0.0916000
424.6000000	1.8990000	0.0905000
426.1000000	1.8990000	0.0894000
427.5000000	1.8980000	0.0883000
429.0000000	1.8980000	0.0873000
430.5000000	1.8970000	0.0862000
432.0000000	1.8970000	0.0851000
433.5000000	1.8970000	0.0840000
435.0000000	1.8960000	0.0830000
436.6000000	1.8960000	0.0819000
438.1000000	1.8950000	0.0808000
439.7000000	1.8950000	0.0798000
441.2000000	1.8940000	0.0787000
442.8000000	1.8940000	0.0777000
444.4000000	1.8930000	0.0767000
446.0000000	1.8930000	0.0756000
447.6000000	1.8920000	0.0746000
449.2000000	1.8920000	0.0736000
450.9000000	1.8910000	0.0726000
452.5000000	1.8910000	0.0716000
454.2000000	1.8900000	0.0706000
455.8000000	1.8900000	0.0696000
457.5000000	1.8890000	0.0686000
459.2000000	1.8890000	0.0676000
460.9000000	1.8880000	0.0666000
462.6000000	1.8870000	0.0657000
464.4000000	1.8870000	0.0647000
466.1000000	1.8860000	0.0637000
467.9000000	1.8860000	0.0628000
469.6000000	1.8850000	0.0618000
471.4000000	1.8840000	0.0609000
473.2000000	1.8840000	0.0600000
475.0000000	1.8830000	0.0590000
476.9000000	1.8830000	0.0581000
478.7000000	1.8820000	0.0572000
480.6000000	1.8810000	0.0563000
482.4000000	1.8810000	0.0554000
484.3000000	1.8800000	0.0545000
486.2000000	1.8790000	0.0536000
488.1000000	1.8790000	0.0528000
490.1000000	1.8780000	0.0519000
492.0000000	1.8770000	0.0510000
494.0000000	1.8770000	0.0502000
495.9000000	1.8760000	0.0493000
497.9000000	1.8750000	0.0485000
499.9000000	1.8750000	0.0477000
502.0000000	1.8740000	0.0469000
504.0000000	1.8730000	0.0460000
506.1000000	1.8720000	0.0452000
508.1000000	1.8720000	0.0444000
510.2000000	1.8710000	0.0436000
512.3000000	1.8700000	0.0429000
514.5000000	1.8690000	0.0421000
516.6000000	1.8690000	0.0413000
518.8000000	1.8680000	0.0405000
520.9000000	1.8670000	0.0398000
523.1000000	1.8670000	0.0390000
525.4000000	1.8660000	0.0383000
527.6000000	1.8650000	0.0376000
529.9000000	1.8640000	0.0369000
532.1000000	1.8630000	0.0361000
534.4000000	1.8630000	0.0354000
536.7000000	1.8620000	0.0347000
539.1000000	1.8610000	0.0340000
541.4000000	1.8600000	0.0334000
543.8000000	1.8600000	0.0327000
546.2000000	1.8590000	0.0320000
548.6000000	1.8580000	0.0313000
551.0000000	1.8570000	0.0307000
553.5000000	1.8560000	0.0301000
556.0000000	1.8560000	0.0294000
558.5000000	1.8550000	0.0288000
561.0000000	1.8540000	0.0282000
563.6000000	1.8530000	0.0276000
566.1000000	1.8530000	0.0269000
568.7000000	1.8520000	0.0263000
571.4000000	1.8510000	0.0258000
574.0000000	1.8500000	0.0252000
576.7000000	1.8490000	0.0246000
579.4000000	1.8480000	0.0240000
582.1000000	1.8480000	0.0235000
584.8000000	1.8470000	0.0229000
587.6000000	1.8460000	0.0224000
590.4000000	1.8450000	0.0218000
593.2000000	1.8440000	0.0213000
596.1000000	1.8440000	0.0208000
599.0000000	1.8430000	0.0203000
601.9000000	1.8420000	0.0198000
604.8000000	1.8410000	0.0193000
607.8000000	1.8400000	0.0188000
610.8000000	1.8390000	0.0183000
613.8000000	1.8390000	0.0178000
616.8000000	1.8380000	0.0174000
619.9000000	1.8370000	0.0169000
623.0000000	1.8360000	0.0165000
626.2000000	1.8350000	0.0160000
629.4000000	1.8350000	0.0156000
632.6000000	1.8340000	0.0151000
635.8000000	1.8330000	0.0147000
639.1000000	1.8320000	0.0143000
642.4000000	1.8310000	0.0139000
645.8000000	1.8300000	0.0135000
649.1000000	1.8300000	0.0131000
652.6000000	1.8290000	0.0127000
656.0000000	1.8280000	0.0123000
659.5000000	1.8270000	0.0119000
663.0000000	1.8260000	0.0116000
666.6000000	1.8250000	0.0112000
670.2000000	1.8250000	0.0109000
673.8000000	1.8240000	0.0105000
677.5000000	1.8230000	0.0102000
681.2000000	1.8220000	0.0098300
685.0000000	1.8210000	0.0095000
688.8000000	1.8210000	0.0091800
692.7000000	1.8200000	0.0088600
696.5000000	1.8190000	0.0085600
700.5000000	1.8180000	0.0082500
704.5000000	1.8170000	0.0079600
708.5000000	1.8160000	0.0076700
712.6000000	1.8160000	0.0073900
716.7000000	1.8150000	0.0071100
720.8000000	1.8140000	0.0068400
725.1000000	1.8130000	0.0065700
729.3000000	1.8120000	0.0063200
733.6000000	1.8120000	0.0060600
738.0000000	1.8110000	0.0058200
742.4000000	1.8100000	0.0055800
746.9000000	1.8090000	0.0053400
751.4000000	1.8080000	0.0051100
756.0000000	1.8080000	0.0048900
760.6000000	1.8070000	0.0046700
765.3000000	1.8060000	0.0044600
770.1000000	1.8050000	0.0042600
774.9000000	1.8040000	0.0040600
779.8000000	1.8040000	0.0038600
784.7000000	1.8030000	0.0036700
789.7000000	1.8020000	0.0034900
794.8000000	1.8010000	0.0033100
799.9000000	1.8010000	0.0031400
805.1000000	1.8000000	0.0029700
810.4000000	1.7990000	0.0028100
815.7000000	1.7980000	0.0026500
821.1000000	1.7970000	0.0025000
826.6000000	1.7970000	0.0023500
826.6000000	1.7964899	0.0023042
831.6000000	1.7957866	0.0021750
836.6000000	1.7950938	0.0020510
841.6000000	1.7944112	0.0019322
846.6000000	1.7937387	0.0018182
851.6000000	1.7930762	0.0017089
856.6000000	1.7924235	0.0016040
861.6000000	1.7917805	0.0015035
866.6000000	1.7911471	0.0014071
871.6000000	1.7905230	0.0013146
876.6000000	1.7899081	0.0012260
881.6000000	1.7893024	0.0011409
886.6000000	1.7887057	0.0010594
891.6000000	1.7881178	0.0009812
896.6000000	1.7875386	0.0009062
901.6000000	1.7869680	0.0008342
906.6000000	1.7864059	0.0007652
911.6000000	1.7858521	0.0006991
916.6000000	1.7853065	0.0006357
921.6000000	1.7847690	0.0005748
926.6000000	1.7842395	0.0005165
931.6000000	1.7837178	0.0004605
936.6000000	1.7832038	0.0004069
941.6000000	1.7826975	0.0003554
946.6000000	1.7821987	0.0003060
951.6000000	1.7817073	0.0002587
956.6000000	1.7812231	0.0002133
961.6000000	1.7807461	0.0001698
966.6000000	1.7802762	0.0001281
971.6000000	1.7798133	0.0000880
976.6000000	1.7793572	0.0000496
981.6000000	1.7789079	0.0000128
986.6000000	1.7784653	0.0000000
991.6000000	1.7780292	0.0000000
996.6000000	1.7775996	0.0000000
1001.6000000	1.7771763	0.0000000
1006.6000000	1.7767593	0.0000000
1011.6000000	1.7763486	0.0000000
1016.6000000	1.7759438	0.0000000
1021.6000000	1.7755451	0.0000000
1026.6000000	1.7751523	0.0000000
1031.6000000	1.7747654	0.0000000
1036.6000000	1.7743841	0.0000000
1041.6000000	1.7740085	0.0000000
1046.6000000	1.7736385	0.0000000
1051.6000000	1.7732740	0.0000000
1056.6000000	1.7729149	0.0000000
1061.6000000	1.7725610	0.0000000
1066.6000000	1.7722125	0.0000000
1071.6000000	1.7718691	0.0000000
1076.6000000	1.7715308	0.0000000
1081.6000000	1.7711975	0.0000000
1086.6000000	1.7708692	0.0000000
1091.6000000	1.7705457	0.0000000
1096.6000000	1.7702270	0.0000000
1101.6000000	1.7699130	0.0000000
1106.6000000	1.7696037	0.0000000
1111.6000000	1.7692990	0.0000000
1116.6000000	1.7689988	0.0000000
1121.6000000	1.7687030	0.0000000
1126.6000000	1.7684117	0.0000000
1131.6000000	1.7681246	0.0000000
1136.6000000	1.7678418	0.0000000
1141.6000000	1.7675632	0.0000000
1146.6000000	1.7672887	0.0000000
1151.6000000	1.7670183	0.0000000
1156.6000000	1.7667519	0.0000000
1161.6000000	1.7664895	0.0000000
1166.6000000	1.7662309	0.0000000
1171.6000000	1.7659762	0.0000000
1176.6000000	1.7657253	0.0000000
1181.6000000	1.7654780	0.0000000
1186.6000000	1.7652345	0.0000000
1191.6000000	1.7649945	0.0000000
1196.6000000	1.7647581	0.0000000
1201.6000000	1.7645252	0.0000000
1206.6000000	1.7642958	0.0000000
1211.6000000	1.7640698	0.0000000
1216.6000000	1.7638471	0.0000000
1221.6000000	1.7636277	0.0000000
1226.6000000	1.7634116	0.0000000
1231.6000000	1.7631986	0.0000000
1236.6000000	1.7629889	0.0000000
1241.6000000	1.7627822	0.0000000
1246.6000000	1.7625786	0.0000000
1251.6000000	1.7623780	0.0000000
1256.6000000	1.7621804	0.0000000
1261.6000000	1.7619857	0.0000000
1266.6000000	1.7617940	0.0000000
1271.6000000	1.7616050	0.0000000
1276.6000000	1.7614189	0.0000000
1281.6000000	1.7612355	0.0000000
1286.6000000	1.7610548	0.0000000
1291.6000000	1.7608768	0.0000000
1296.6000000	1.7607015	0.0000000
1301.6000000	1.7605287	0.0000000
1306.6000000	1.7603585	0.0000000
1311.6000000	1.7601908	0.0000000
1316.6000000	1.7600257	0.0000000
1321.6000000	1.7598629	0.0000000
1326.6000000	1.7597026	0.0000000
1331.6000000	1.7595446	0.0000000
1336.6000000	1.7593890	0.0000000
1341.6000000	1.7592357	0.0000000
1346.6000000	1.7590847	0.0000000
1351.6000000	1.7589359	0.0000000
1356.6000000	1.7587894	0.0000000
1361.6000000	1.7586449	0.0000000
1366.6000000	1.7585027	0.0000000
1371.6000000	1.7583625	0.0000000
1376.6000000	1.7582244	0.0000000
1381.6000000	1.7580884	0.0000000
1386.6000000	1.7579544	0.0000000
1391.6000000	1.7578224	0.0000000
1396.6000000	1.7576923	0.0000000
1401.6000000	1.7575641	0.0000000
1406.6000000	1.7574379	0.0000000
1411.6000000	1.7573135	0.0000000
1416.6000000	1.7571910	0.0000000
1421.6000000	1.7570703	0.0000000
1426.6000000	1.7569513	0.0000000
1431.6000000	1.7568342	0.0000000
1436.6000000	1.7567188	0.0000000
1441.6000000	1.7566050	0.0000000
1446.6000000	1.7564930	0.0000000
1451.6000000	1.7563827	0.0000000
1456.6000000	1.7562739	0.0000000
1461.6000000	1.7561668	0.0000000
1466.6000000	1.7560613	0.0000000
1471.6000000	1.7559573	0.0000000
1476.6000000	1.7558549	0.0000000
1481.6000000	1.7557540	0.0000000
1486.6000000	1.7556546	0.0000000
1491.6000000	1.7555566	0.0000000
1496.6000000	1.7554601	0.0000000
1501.6000000	1.7553651	0.0000000
1506.6000000	1.7552714	0.0000000
1511.6000000	1.7551792	0.0000000
1516.6000000	1.7550883	0.0000000
1521.6000000	1.7549987	0.0000000
1526.6000000	1.7549105	0.0000000
1531.6000000	1.7548236	0.0000000
1536.6000000	1.7547380	0.0000000
1541.6000000	1.7546536	0.0000000
1546.6000000	1.7545705	0.0000000
1551.6000000	1.7544887	0.0000000
1556.6000000	1.7544080	0.0000000
1561.6000000	1.7543286	0.0000000
1566.6000000	1.7542503	0.0000000
1571.6000000	1.7541732	0.0000000
1576.6000000	1.7540972	0.0000000
1581.6000000	1.7540223	0.0000000
1586.6000000	1.7539486	0.0000000
1591.6000000	1.7538759	0.0000000
1596.6000000	1.7538044	0.0000000
1601.6000000	1.7537339	0.0000000
1606.6000000	1.7536644	0.0000000
1611.6000000	1.7535960	0.0000000
1616.6000000	1.7535285	0.0000000
1621.6000000	1.7534621	0.0000000
1626.6000000	1.7533967	0.0000000
1631.6000000	1.7533322	0.0000000
1636.6000000	1.7532687	0.0000000
1641.6000000	1.7532061	0.0000000
1646.6000000	1.7531445	0.0000000
