wl	n	k
300.9	1.928	0.2503
301.7	1.928	0.2497
302.4	1.929	0.2492
303.1	1.93	0.2487
303.9	1.931	0.2482
304.6	1.932	0.2477
305.4	1.932	0.2471
306.1	1.933	0.2466
306.9	1.934	0.246
307.7	1.935	0.2454
308.4	1.936	0.2449
309.2	1.936	0.2443
310	1.937	0.2437
310.7	1.938	0.2431
311.5	1.939	0.2425
312.3	1.94	0.2419
313.1	1.94	0.2412
313.9	1.941	0.2406
314.7	1.942	0.2399
315.5	1.943	0.2393
316.3	1.944	0.2386
317.1	1.944	0.238
317.9	1.945	0.2373
318.7	1.946	0.2366
319.5	1.947	0.2359
320.4	1.948	0.2352
321.2	1.948	0.2345
322	1.949	0.2338
322.9	1.95	0.2331
323.7	1.951	0.2323
324.6	1.951	0.2316
325.4	1.952	0.2308
326.3	1.953	0.23
327.1	1.954	0.2293
328	1.954	0.2285
328.9	1.955	0.2277
329.7	1.956	0.2269
330.6	1.957	0.2261
331.5	1.957	0.2253
332.4	1.958	0.2245
333.3	1.959	0.2236
334.2	1.96	0.2228
335.1	1.96	0.2219
336	1.961	0.2211
336.9	1.962	0.2202
337.8	1.962	0.2193
338.8	1.963	0.2184
339.7	1.964	0.2175
340.6	1.964	0.2166
341.6	1.965	0.2157
342.5	1.966	0.2148
343.4	1.967	0.2139
344.4	1.967	0.2129
345.4	1.968	0.212
346.3	1.968	0.211
347.3	1.969	0.2101
348.3	1.97	0.2091
349.3	1.97	0.2081
350.2	1.971	0.2071
351.2	1.972	0.2062
352.2	1.972	0.2051
353.2	1.973	0.2041
354.2	1.973	0.2031
355.3	1.974	0.2021
356.3	1.975	0.2011
357.3	1.975	0.2
358.3	1.976	0.199
359.4	1.976	0.1979
360.4	1.977	0.1968
361.5	1.977	0.1958
362.5	1.978	0.1947
363.6	1.978	0.1936
364.7	1.979	0.1925
365.7	1.98	0.1914
366.8	1.98	0.1903
367.9	1.98	0.1892
369	1.981	0.1881
370.1	1.981	0.1869
371.2	1.982	0.1858
372.3	1.982	0.1846
373.4	1.983	0.1835
374.6	1.983	0.1823
375.7	1.984	0.1812
376.9	1.984	0.18
378	1.985	0.1788
379.2	1.985	0.1777
380.3	1.985	0.1765
381.5	1.986	0.1753
382.7	1.986	0.1741
383.9	1.986	0.1729
385	1.987	0.1717
386.2	1.987	0.1705
387.5	1.987	0.1692
388.7	1.988	0.168
389.9	1.988	0.1668
391.1	1.988	0.1656
392.4	1.989	0.1643
393.6	1.989	0.1631
394.9	1.989	0.1618
396.1	1.989	0.1606
397.4	1.99	0.1593
398.7	1.99	0.1581
400	1.99	0.1568
401.2	1.99	0.1556
402.5	1.99	0.1543
403.9	1.991	0.153
405.2	1.991	0.1518
406.5	1.991	0.1505
407.8	1.991	0.1492
409.2	1.991	0.1479
410.5	1.991	0.1467
411.9	1.991	0.1454
