wl	n	k
300.9	1.878	0.2174
301.7	1.879	0.2166
302.4	1.879	0.2158
303.1	1.88	0.215
303.9	1.881	0.2142
304.6	1.881	0.2134
305.4	1.882	0.2126
306.1	1.882	0.2117
306.9	1.883	0.2109
307.7	1.883	0.2101
308.4	1.884	0.2092
309.2	1.885	0.2084
310	1.885	0.2075
310.7	1.886	0.2066
311.5	1.886	0.2058
312.3	1.887	0.2049
313.1	1.887	0.204
313.9	1.888	0.2031
314.7	1.888	0.2022
315.5	1.889	0.2013
316.3	1.889	0.2004
317.1	1.89	0.1995
317.9	1.89	0.1986
318.7	1.891	0.1976
319.5	1.891	0.1967
320.4	1.892	0.1957
321.2	1.892	0.1948
322	1.893	0.1938
322.9	1.893	0.1929
323.7	1.894	0.1919
324.6	1.894	0.1909
325.4	1.895	0.1899
326.3	1.895	0.189
327.1	1.896	0.188
328	1.896	0.187
328.9	1.896	0.186
329.7	1.897	0.185
330.6	1.897	0.1839
331.5	1.898	0.1829
332.4	1.898	0.1819
333.3	1.898	0.1809
334.2	1.899	0.1798
335.1	1.899	0.1788
336	1.899	0.1778
336.9	1.9	0.1767
337.8	1.9	0.1756
338.8	1.9	0.1746
339.7	1.901	0.1735
340.6	1.901	0.1725
341.6	1.901	0.1714
342.5	1.902	0.1703
343.4	1.902	0.1692
344.4	1.902	0.1681
345.4	1.903	0.167
346.3	1.903	0.1659
347.3	1.903	0.1648
348.3	1.903	0.1637
349.3	1.904	0.1626
350.2	1.904	0.1615
351.2	1.904	0.1604
352.2	1.904	0.1593
353.2	1.904	0.1582
354.2	1.905	0.157
355.3	1.905	0.1559
356.3	1.905	0.1548
357.3	1.905	0.1537
358.3	1.905	0.1525
359.4	1.905	0.1514
360.4	1.906	0.1502
361.5	1.906	0.1491
362.5	1.906	0.148
363.6	1.906	0.1468
364.7	1.906	0.1457
365.7	1.906	0.1445
366.8	1.906	0.1433
367.9	1.906	0.1422
369	1.906	0.141
370.1	1.906	0.1399
371.2	1.906	0.1387
372.3	1.906	0.1376
373.4	1.906	0.1364
374.6	1.906	0.1352
375.7	1.906	0.1341
376.9	1.906	0.1329
378	1.906	0.1317
379.2	1.906	0.1306
380.3	1.906	0.1294
381.5	1.906	0.1282
382.7	1.906	0.1271
383.9	1.906	0.1259
385	1.906	0.1247
386.2	1.906	0.1236
387.5	1.906	0.1224
388.7	1.906	0.1212
389.9	1.906	0.1201
391.1	1.906	0.1189
392.4	1.905	0.1178
393.6	1.905	0.1166
394.9	1.905	0.1154
396.1	1.905	0.1143
397.4	1.905	0.1131
398.7	1.905	0.112
400	1.904	0.1108
401.2	1.904	0.1097
402.5	1.904	0.1085
403.9	1.904	0.1074
405.2	1.903	0.1062
406.5	1.903	0.1051
407.8	1.903	0.104
409.2	1.903	0.1028
410.5	1.902	0.1017
411.9	1.902	0.1006
413.3	1.902	9.94E-02
414.7	1.901	9.83E-02
416.1	1.901	9.72E-02
417.5	1.901	9.61E-02
418.9	1.9	9.49E-02
420.3	1.9	9.38E-02
421.7	1.9	9.27E-02
423.2	1.899	9.16E-02
424.6	1.899	9.05E-02
426.1	1.899	8.94E-02
427.5	1.898	8.83E-02
429	1.898	8.73E-02
430.5	1.897	8.62E-02
432	1.897	8.51E-02
433.5	1.897	8.40E-02
435	1.896	8.30E-02
436.6	1.896	8.19E-02
438.1	1.895	8.08E-02
439.7	1.895	7.98E-02
441.2	1.894	7.87E-02
442.8	1.894	7.77E-02
444.4	1.893	7.67E-02
446	1.893	7.56E-02
447.6	1.892	7.46E-02
449.2	1.892	7.36E-02
450.9	1.891	7.26E-02
452.5	1.891	7.16E-02
454.2	1.89	7.06E-02
455.8	1.89	6.96E-02
457.5	1.889	6.86E-02
459.2	1.889	6.76E-02
460.9	1.888	6.66E-02
462.6	1.887	6.57E-02
464.4	1.887	6.47E-02
466.1	1.886	6.37E-02
467.9	1.886	6.28E-02
469.6	1.885	6.18E-02
471.4	1.884	6.09E-02
473.2	1.884	6.00E-02
475	1.883	5.90E-02
476.9	1.883	5.81E-02
478.7	1.882	5.72E-02
480.6	1.881	5.63E-02
482.4	1.881	5.54E-02
484.3	1.88	5.45E-02
486.2	1.879	5.36E-02
488.1	1.879	5.28E-02
490.1	1.878	5.19E-02
492	1.877	5.10E-02
494	1.877	5.02E-02
495.9	1.876	4.93E-02
497.9	1.875	4.85E-02
499.9	1.875	4.77E-02
502	1.874	4.69E-02
504	1.873	4.60E-02
506.1	1.872	4.52E-02
508.1	1.872	4.44E-02
510.2	1.871	4.36E-02
512.3	1.87	4.29E-02
514.5	1.869	4.21E-02
516.6	1.869	4.13E-02
518.8	1.868	4.05E-02
520.9	1.867	3.98E-02
523.1	1.867	3.90E-02
525.4	1.866	3.83E-02
527.6	1.865	3.76E-02
529.9	1.864	3.69E-02
532.1	1.863	3.61E-02
534.4	1.863	3.54E-02
536.7	1.862	3.47E-02
539.1	1.861	3.40E-02
541.4	1.86	3.34E-02
543.8	1.86	3.27E-02
546.2	1.859	3.20E-02
548.6	1.858	3.13E-02
551	1.857	3.07E-02
553.5	1.856	3.01E-02
556	1.856	2.94E-02
558.5	1.855	2.88E-02
561	1.854	2.82E-02
563.6	1.853	2.76E-02
566.1	1.853	2.69E-02
568.7	1.852	2.63E-02
571.4	1.851	2.58E-02
574	1.85	2.52E-02
576.7	1.849	2.46E-02
579.4	1.848	2.40E-02
582.1	1.848	2.35E-02
584.8	1.847	2.29E-02
587.6	1.846	2.24E-02
590.4	1.845	2.18E-02
593.2	1.844	2.13E-02
596.1	1.844	2.08E-02
599	1.843	2.03E-02
601.9	1.842	1.98E-02
604.8	1.841	1.93E-02
607.8	1.84	1.88E-02
610.8	1.839	1.83E-02
613.8	1.839	1.78E-02
616.8	1.838	1.74E-02
619.9	1.837	1.69E-02
623	1.836	1.65E-02
626.2	1.835	1.60E-02
629.4	1.835	1.56E-02
632.6	1.834	1.51E-02
635.8	1.833	1.47E-02
639.1	1.832	1.43E-02
642.4	1.831	1.39E-02
645.8	1.83	1.35E-02
649.1	1.83	1.31E-02
652.6	1.829	1.27E-02
656	1.828	1.23E-02
659.5	1.827	1.19E-02
663	1.826	1.16E-02
666.6	1.825	1.12E-02
670.2	1.825	1.09E-02
673.8	1.824	1.05E-02
677.5	1.823	1.02E-02
681.2	1.822	9.83E-03
685	1.821	9.50E-03
688.8	1.821	9.18E-03
692.7	1.82	8.86E-03
696.5	1.819	8.56E-03
700.5	1.818	8.25E-03
704.5	1.817	7.96E-03
708.5	1.816	7.67E-03
712.6	1.816	7.39E-03
716.7	1.815	7.11E-03
720.8	1.814	6.84E-03
725.1	1.813	6.57E-03
729.3	1.812	6.32E-03
733.6	1.812	6.06E-03
738	1.811	5.82E-03
742.4	1.81	5.58E-03
746.9	1.809	5.34E-03
751.4	1.808	5.11E-03
756	1.808	4.89E-03
760.6	1.807	4.67E-03
765.3	1.806	4.46E-03
770.1	1.805	4.26E-03
774.9	1.804	4.06E-03
779.8	1.804	3.86E-03
784.7	1.803	3.67E-03
789.7	1.802	3.49E-03
794.8	1.801	3.31E-03
799.9	1.801	3.14E-03
805.1	1.8	2.97E-03
810.4	1.799	2.81E-03
815.7	1.798	2.65E-03
821.1	1.797	2.50E-03
826.6	1.797	2.35E-03
