wl	n	k
467.9	1.569	6.40E-04
469.6	1.568	6.01E-04
471.4	1.568	5.63E-04
473.2	1.568	5.26E-04
475	1.567	4.91E-04
476.9	1.567	4.57E-04
478.7	1.567	4.25E-04
480.6	1.566	3.94E-04
482.4	1.566	3.64E-04
484.3	1.566	3.35E-04
486.2	1.565	3.08E-04
488.1	1.565	2.82E-04
490.1	1.565	2.57E-04
492	1.564	2.33E-04
494	1.564	2.11E-04
495.9	1.564	1.89E-04
497.9	1.563	1.69E-04
499.9	1.563	1.51E-04
502	1.563	1.33E-04
504	1.562	1.16E-04
506.1	1.562	1.01E-04
508.1	1.562	8.67E-05
510.2	1.561	7.36E-05
512.3	1.561	6.16E-05
514.5	1.561	5.07E-05
516.6	1.56	4.09E-05
518.8	1.56	3.21E-05
520.9	1.56	2.45E-05
523.1	1.559	1.79E-05
525.4	1.559	1.23E-05
527.6	1.559	7.84E-06
529.9	1.558	4.36E-06
532.1	1.558	1.90E-06
534.4	1.558	4.53E-07
536.7	1.557	9.56E-10
539.1	1.557	5.37E-07
541.4	1.557	2.05E-06
543.8	1.556	4.53E-06
546.2	1.556	7.97E-06
548.6	1.556	1.24E-05
551	1.555	1.77E-05
553.5	1.555	2.39E-05
556	1.555	3.11E-05
558.5	1.554	3.92E-05
561	1.554	4.82E-05
563.6	1.554	5.80E-05
566.1	1.554	6.88E-05
568.7	1.553	8.04E-05
571.4	1.553	9.29E-05
574	1.553	1.06E-04
576.7	1.552	1.20E-04
579.4	1.552	1.35E-04
582.1	1.552	1.51E-04
584.8	1.551	1.68E-04
587.6	1.551	1.85E-04
590.4	1.551	2.04E-04
593.2	1.55	2.23E-04
596.1	1.55	2.43E-04
599	1.55	2.63E-04
601.9	1.55	2.85E-04
604.8	1.549	3.07E-04
607.8	1.549	3.30E-04
610.8	1.549	3.53E-04
613.8	1.548	3.78E-04
616.8	1.548	4.03E-04
619.9	1.548	4.29E-04
623	1.548	4.55E-04
626.2	1.547	4.83E-04
629.4	1.547	5.10E-04
632.6	1.547	5.39E-04
635.8	1.546	5.68E-04
639.1	1.546	5.98E-04
642.4	1.546	6.29E-04
645.8	1.546	6.60E-04
649.1	1.545	6.92E-04
652.6	1.545	7.25E-04
656	1.545	7.58E-04
659.5	1.544	7.92E-04
663	1.544	8.26E-04
666.6	1.544	8.61E-04
670.2	1.544	8.97E-04
673.8	1.543	9.33E-04
677.5	1.543	9.70E-04
681.2	1.543	1.01E-03
685	1.543	1.05E-03
688.8	1.542	1.08E-03
692.7	1.542	1.12E-03
696.5	1.542	1.16E-03
700.5	1.541	1.20E-03
704.5	1.541	1.24E-03
708.5	1.541	1.29E-03
712.6	1.541	1.33E-03
716.7	1.54	1.37E-03
720.8	1.54	1.41E-03
725.1	1.54	1.46E-03
729.3	1.54	1.50E-03
733.6	1.539	1.54E-03
738	1.539	1.59E-03
742.4	1.539	1.64E-03
746.9	1.539	1.68E-03
751.4	1.538	1.73E-03
756	1.538	1.77E-03
760.6	1.538	1.82E-03
765.3	1.538	1.87E-03
770.1	1.537	1.92E-03
774.9	1.537	1.97E-03
779.8	1.537	2.02E-03
784.7	1.537	2.07E-03
789.7	1.536	2.12E-03
794.8	1.536	2.17E-03
799.9	1.536	2.22E-03
805.1	1.536	2.27E-03
810.4	1.535	2.32E-03
815.7	1.535	2.37E-03
821.1	1.535	2.42E-03
826.6	1.535	2.42E-03
