wl	n	k
300.9	1.63	2.91E-02
301.7	1.629	2.87E-02
302.4	1.629	2.83E-02
303.1	1.628	2.79E-02
303.9	1.628	2.75E-02
304.6	1.628	2.71E-02
305.4	1.627	2.67E-02
306.1	1.627	2.64E-02
306.9	1.626	2.60E-02
307.7	1.626	2.56E-02
308.4	1.625	2.52E-02
309.2	1.625	2.49E-02
310	1.625	2.45E-02
310.7	1.624	2.42E-02
311.5	1.624	2.38E-02
312.3	1.623	2.35E-02
313.1	1.623	2.31E-02
313.9	1.622	2.28E-02
314.7	1.622	2.24E-02
315.5	1.622	2.21E-02
316.3	1.621	2.18E-02
317.1	1.621	2.14E-02
317.9	1.62	2.11E-02
318.7	1.62	2.08E-02
319.5	1.619	2.04E-02
320.4	1.619	2.01E-02
321.2	1.619	1.98E-02
322	1.618	1.95E-02
322.9	1.618	1.92E-02
323.7	1.617	1.89E-02
324.6	1.617	1.86E-02
325.4	1.616	1.83E-02
326.3	1.616	1.80E-02
327.1	1.616	1.77E-02
328	1.615	1.74E-02
328.9	1.615	1.71E-02
329.7	1.614	1.68E-02
330.6	1.614	1.65E-02
331.5	1.613	1.63E-02
332.4	1.613	1.60E-02
333.3	1.612	1.57E-02
334.2	1.612	1.54E-02
335.1	1.612	1.52E-02
336	1.611	1.49E-02
336.9	1.611	1.47E-02
337.8	1.61	1.44E-02
338.8	1.61	1.41E-02
339.7	1.609	1.39E-02
340.6	1.609	1.36E-02
341.6	1.609	1.34E-02
342.5	1.608	1.31E-02
343.4	1.608	1.29E-02
344.4	1.607	1.27E-02
345.4	1.607	1.24E-02
346.3	1.606	1.22E-02
347.3	1.606	1.20E-02
348.3	1.605	1.17E-02
349.3	1.605	1.15E-02
350.2	1.605	1.13E-02
351.2	1.604	1.11E-02
352.2	1.604	1.09E-02
353.2	1.603	1.07E-02
354.2	1.603	1.04E-02
355.3	1.602	1.02E-02
356.3	1.602	1.00E-02
357.3	1.602	9.83E-03
358.3	1.601	9.63E-03
359.4	1.601	9.43E-03
360.4	1.6	9.23E-03
361.5	1.6	9.04E-03
362.5	1.599	8.85E-03
363.6	1.599	8.67E-03
364.7	1.599	8.48E-03
365.7	1.598	8.30E-03
366.8	1.598	8.12E-03
367.9	1.597	7.94E-03
369	1.597	7.77E-03
370.1	1.596	7.59E-03
371.2	1.596	7.42E-03
372.3	1.596	7.26E-03
373.4	1.595	7.09E-03
374.6	1.595	6.93E-03
375.7	1.594	6.77E-03
376.9	1.594	6.61E-03
378	1.593	6.46E-03
379.2	1.593	6.30E-03
380.3	1.593	6.15E-03
381.5	1.592	6.00E-03
382.7	1.592	5.86E-03
383.9	1.591	5.71E-03
385	1.591	5.57E-03
386.2	1.591	5.43E-03
387.5	1.59	5.29E-03
388.7	1.59	5.16E-03
389.9	1.589	5.02E-03
391.1	1.589	4.89E-03
392.4	1.589	4.76E-03
393.6	1.588	4.64E-03
394.9	1.588	4.51E-03
396.1	1.587	4.39E-03
397.4	1.587	4.27E-03
398.7	1.586	4.15E-03
400	1.586	4.03E-03
401.2	1.586	3.92E-03
402.5	1.585	3.80E-03
403.9	1.585	3.69E-03
405.2	1.584	3.58E-03
406.5	1.584	3.48E-03
407.8	1.584	3.37E-03
409.2	1.583	3.27E-03
410.5	1.583	3.17E-03
411.9	1.582	3.07E-03
413.3	1.582	2.97E-03
414.7	1.582	2.88E-03
416.1	1.581	2.78E-03
417.5	1.581	2.69E-03
418.9	1.58	2.60E-03
420.3	1.58	2.51E-03
421.7	1.58	2.43E-03
423.2	1.579	2.34E-03
424.6	1.579	2.26E-03
426.1	1.579	2.18E-03
427.5	1.578	2.10E-03
429	1.578	2.02E-03
430.5	1.577	1.95E-03
432	1.577	1.87E-03
433.5	1.577	1.80E-03
435	1.576	1.73E-03
436.6	1.576	1.66E-03
438.1	1.575	1.59E-03
439.7	1.575	1.53E-03
441.2	1.575	1.46E-03
442.8	1.574	1.40E-03
444.4	1.574	1.34E-03
446	1.574	1.28E-03
447.6	1.573	1.22E-03
449.2	1.573	1.16E-03
450.9	1.573	1.11E-03
452.5	1.572	1.06E-03
454.2	1.572	1.00E-03
455.8	1.571	9.53E-04
457.5	1.571	9.04E-04
459.2	1.571	8.57E-04
460.9	1.57	8.10E-04
462.6	1.57	7.66E-04
464.4	1.57	7.22E-04
466.1	1.569	6.80E-04
