wl	n
0.2066	1.30297032889
0.21089508319	1.32184504266
0.215279458439	1.34329832168
0.219754982075	1.36672175785
0.224323549012	1.39138312275
0.228987093564	1.41647477571
0.233747590255	1.44115442207
0.238607054657	1.46457707111
0.243567544248	1.4859183888
0.248631159276	1.50439048181
0.253800043655	1.51925175468
0.259076385867	1.52981311219
0.264462419893	1.53544362739
0.269960426156	1.53557993025
0.275572732488	1.52974486666
0.281301715116	1.51758203445
0.287149799665	1.49891284529
0.293119462189	1.47382052567
0.299213230217	1.44275913746
0.305433683824	1.40667326251
0.311783456723	1.36709496404
0.318265237381	1.3261640982
0.324881770154	1.28651137885
0.331635856454	1.25097293271
0.338530355932	1.22217682255
0.345568187689	1.20211949271
0.352752331512	1.19186942814
0.360085829136	1.19147314069
0.367571785533	1.20004532862
0.375213370223	1.2159681978
0.383013818621	1.23712325118
0.390976433402	1.26110683002
0.399104585903	1.28540941737
0.407401717548	1.30755635098
0.415871341306	1.32521514366
0.42451704318	1.33627667024
0.433342483722	1.33891757753
0.442351399584	1.33165110682
0.451547605104	1.31337348831
0.460934993913	1.28341275683
0.470517540592	1.24158514643
0.480299302349	1.18825935649
0.49028442074	1.12441893339
0.50047712342	1.05169751562
0.510881725935	0.972346259046
0.521502633549	0.889091760476
0.532344343107	0.80487278327
0.543411444943	0.722502526309
0.554708624818	0.644353437454
0.56624066591	0.572158989254
0.578012450835	0.50696937296
0.590028963715	0.449231745439
0.602295292289	0.398933668146
0.614816630068	0.355754820296
0.627598278532	0.319195520865
0.640645649374	0.288671857391
0.653964266795	0.263579511632
0.667559769839	0.243333025795
0.681437914784	0.227387652138
0.695604577575	0.215249657893
0.710065756315	0.206479378124
0.724827573806	0.200689953733
0.739896280135	0.197543682243
0.755278255329	0.19674720854
0.770980012047	0.198046315651
0.787008198346	0.20122077108
0.803369600489	0.206079488375
0.820071145824	0.212456138944
0.837119905712	0.220205270697
0.854523098523	0.229198941553
0.872288092693	0.23932384671
0.890422409845	0.250478902059
0.908933727968	0.262573237801
0.927829884674	0.275524553248
0.947118880514	0.289257784181
0.966808882365	0.303704036493
0.986908226887	0.318799743504
1.00742542406	0.334486008535
1.02836916076	0.350708098817
1.0497483045	0.367415061191
1.07157190709	0.384559434297
1.09384920857	0.40209703581
1.11658964103	0.419986806844
1.13980283269	0.438190698773
1.16349861191	0.456673590494
1.18768701137	0.475403226545
1.21237827235	0.494350168553
1.237582849	0.513487754196
1.26331141285	0.532792059353
1.28957485725	0.552241860281
1.31638430203	0.571818593661
1.34375109819	0.591506313134
1.37168683271	0.611291641573
1.40020333347	0.631163718838
1.42931267422	0.651114145108
1.45902717974	0.671136920175
1.48935943101	0.691228379272
1.52032227059	0.711387126128
1.55192880799	0.731613964031
1.58419242529	0.751911825696
1.61712678277	0.772285702746
1.65074582469	0.792742575592
1.6850637852	0.813291344453
1.72009519439	0.833942762188
1.75585488439	0.854709369589
1.7923579957	0.875605433666
1.82961998359	0.89664688943
1.86765662461	0.917851285587
1.90648402331	0.939237734492
1.94611861905	0.960826866666
1.98657719294	0.9826407901
2.02787687497	1.00470305452
2.07003515123	1.02703862077
2.11306987137	1.04967383534
2.15699925609	1.0726364102
2.2018419049	1.09595540783
2.24761680399	1.11966123147
2.29434333425	1.14378562073
2.34204127949	1.16836165212
2.39073083481	1.19342374494
2.44043261516	1.21900767199
2.49116766405	1.24515057529
2.54295746248	1.27189098668
2.59582393804	1.29926885315
2.64978947414	1.32732556679
2.70487691958	1.3561039994
2.76110959812	1.38564854155
2.81851131845	1.41600514607
2.8771063842	1.44722137588
2.93691960427	1.47934645608
2.99797630331	1.51243133027
3.06030233246	1.54652872106
3.1239240803	1.58169319461
3.188868484	1.6179812294
3.25516304072	1.65545128888
3.32283581931	1.69416389832
3.39191547211	1.73418172558
3.46243124716	1.77556966597
3.53441300053	1.81839493107
3.60789120897	1.86272714167
3.68289698284	1.90863842467
3.75946207926	1.95620351419
3.83761891556	2.00549985664
3.91740058299	2.05660772006
3.99884086078	2.10961030756
4.08197423038	2.16459387504
4.1668358901	2.22164785311
4.25346176999	2.28086497344
4.34188854708	2.34234139934
4.43215366088	2.40617686084
4.52429532923	2.47247479424
4.61835256454	2.54134248609
4.71436519021	2.61289122182
4.81237385758	2.68723643893
4.91242006309	2.76449788476
5.01454616587	2.84479977904
5.11879540566	2.92827098105
5.22521192114	3.01504516151
5.3338407686	3.10526097922
5.44472794102	3.19906226244
5.55792038754	3.29659819486
5.67346603336	3.39802350643
5.79141379999	3.50349866868
5.91181362602	3.61319009474
6.0347164882	3.72727034374
6.16017442306	3.84591832976
6.28824054896	3.96931953492
6.41896908852	4.09766622677
6.55241539166	4.23115767946
6.68863595894	4.37000039885
6.82768846557	4.51440835105
6.96963178576	4.66460319419
7.11452601772	4.82081451325
7.26243250901	4.98328005734
7.41341388261	5.15224597933
7.56753406337	5.32796707713
7.72485830511	5.51070703629
7.88545321822	5.70073867336
8.04938679789	5.89834417928
8.21672845289	6.10381536235
8.38754903495	6.31745388987
8.56192086874	6.53957152775
8.73991778256	6.77049037724
8.92161513952	7.01054310772
9.10708986948	7.26007318475
9.29642050165	7.51943509211
9.48968719778	7.78899454666
9.68697178616	8.06912870487
9.88835779621	8.36022635962
10.0939304939	8.66268812572
10.3037769178	8.97692661279
10.517985916	9.30336658375
10.7366481837	9.64244509723
10.9598563014	9.9946116321
11.1877047746	10.3603281922
11.4202900733	10.7400693891
11.6577106731	11.1343225015
11.9000670968	11.5435875076
12.1474619572	11.9683770902
12.4	12.4092166102

