wl	n
0.2066	0.122846740621
0.21089508319	0.12766323937
0.215279458439	0.132638075903
0.219754982075	0.137780447014
0.224323549012	0.143101094237
0.228987093564	0.148612342484
0.233747590255	0.154328130258
0.238607054657	0.160264034101
0.243567544248	0.166437289906
0.248631159276	0.172866813664
0.253800043655	0.179573223987
0.259076385867	0.186578868465
0.264462419893	0.193907855581
0.269960426156	0.201586093411
0.275572732488	0.209641335877
0.281301715116	0.218103236684
0.287149799665	0.227003410362
0.293119462189	0.23637549904
0.299213230217	0.246255242528
0.305433683824	0.256680548133
0.311783456723	0.267691555141
0.318265237381	0.279330687127
0.324881770154	0.291642683088
0.331635856454	0.304674595797
0.338530355932	0.318475742693
0.345568187689	0.333097591082
0.352752331512	0.348593555506
0.360085829136	0.36501868105
0.367571785533	0.38242918251
0.375213370223	0.40088180634
0.383013818621	0.420432981139
0.390976433402	0.441137724284
0.399104585903	0.463048278801
0.407401717548	0.486212467254
0.415871341306	0.510671770022
0.42451704318	0.536459164782
0.433342483722	0.563596802793
0.442351399584	0.592093644475
0.451547605104	0.621943229657
0.460934993913	0.653121812831
0.470517540592	0.685587146407
0.480299302349	0.719278240973
0.49028442074	0.754116467921
0.50047712342	0.790008396569
0.510881725935	0.826850779326
0.521502633549	0.864538124501
0.532344343107	0.902973343951
0.543411444943	0.942082056657
0.554708624818	0.981831304254
0.56624066591	1.02225373683
0.578012450835	1.06347881745
0.590028963715	1.1057733467
0.602295292289	1.14959470086
0.614816630068	1.19566164222
0.627598278532	1.24504922419
0.640645649374	1.29931534855
0.653964266795	1.36066421788
0.667559769839	1.43213865299
0.681437914784	1.51779027773
0.695604577575	1.62266619156
0.710065756315	1.75222713279
0.724827573806	1.91052144009
0.739896280135	2.09647891709
0.755278255329	2.29890388833
0.770980012047	2.49334714318
0.787008198346	2.64561743502
0.803369600489	2.72349127944
0.820071145824	2.71103705761
0.837119905712	2.61596564261
0.854523098523	2.46478082946
0.872288092693	2.28972164363
0.890422409845	2.11679793746
0.908933727968	1.96100825745
0.927829884674	1.8278962783
0.947118880514	1.71735276624
0.966808882365	1.62680472747
0.986908226887	1.55306618966
1.00742542406	1.49316794145
1.02836916076	1.44462731533
1.0497483045	1.40546877376
1.07157190709	1.37415565333
1.09384920857	1.34950329164
1.11658964103	1.33059968936
1.13980283269	1.31674085707
1.16349861191	1.3073807396
1.18768701137	1.30209335641
1.21237827235	1.30054448596
1.237582849	1.30247056289
1.26331141285	1.30766293993
1.28957485725	1.31595611267
1.31638430203	1.32721886693
1.34375109819	1.34134758426
1.37168683271	1.35826114602
1.40020333347	1.37789702659
1.42931267422	1.40020827547
1.45902717974	1.42516116713
1.48935943101	1.45273335536
1.52032227059	1.48291241079
1.55192880799	1.51569465093
1.58419242529	1.55108419495
1.61712678277	1.58909219173
1.65074582469	1.62973618228
1.6850637852	1.6730395668
1.72009519439	1.71903115353
1.75585488439	1.76774477148
1.7923579957	1.81921893348
1.82961998359	1.87349653834
1.86765662461	1.93062460372
1.90648402331	1.99065402252
1.94611861905	2.0536393373
1.98657719294	2.11963852802
2.02787687497	2.18871280917
2.07003515123	2.26092643313
2.11306987137	2.33634649686
2.15699925609	2.41504274957
2.2018419049	2.49708739927
2.24761680399	2.58255491623
2.29434333425	2.67152183188
2.34204127949	2.76406653149
2.39073083481	2.86026903944
2.44043261516	2.96021079591
2.49116766405	3.06397442393
2.54295746248	3.17164348604
2.59582393804	3.28330222977
2.64978947414	3.39903532142
2.70487691958	3.51892756799
2.76110959812	3.64306362677
2.81851131845	3.77152770315
2.8771063842	3.90440323655
2.93691960427	4.04177257547
2.99797630331	4.18371664239
3.06030233246	4.33031458995
3.1239240803	4.48164345005
3.188868484	4.63777777801
3.25516304072	4.79878929429
3.32283581931	4.96474652702
3.39191547211	5.13571445874
3.46243124716	5.3117541816
3.53441300053	5.49292256588
3.60789120897	5.67927194695
3.68289698284	5.87084983687
3.75946207926	6.06769866707
3.83761891556	6.26985556939
3.91740058299	6.4773522031
3.99884086078	6.6902146363
4.08197423038	6.90846329018
4.1668358901	7.13211295542
4.25346176999	7.36117288966
4.34188854708	7.59564700545
4.43215366088	7.83553415787
4.52429532923	8.08082854042
4.61835256454	8.33152019749
4.71436519021	8.58759566082
4.81237385758	8.84903871599
4.91242006309	9.11583130396
5.01454616587	9.38795456074
5.11879540566	9.66538999618
5.22521192114	9.94812081105
5.3338407686	10.2361333486
5.44472794102	10.5294186743
5.55792038754	10.8279742751
5.67346603336	11.1318058656
5.79141379999	11.4409292866
5.91181362602	11.755372479
6.0347164882	12.0751775109
6.16017442306	12.4004026381
6.28824054896	12.7311243705
6.41896908852	13.0674395201
6.55241539166	13.4094672024
6.68863595894	13.7573507641
6.82768846557	14.1112596082
6.96963178576	14.4713908912
7.11452601772	14.837971065
7.26243250901	15.2112572405
7.41341388261	15.5915383519
7.56753406337	15.9791361024
7.72485830511	16.3744056768
7.88545321822	16.7777362097
8.04938679789	17.1895510009
8.21672845289	17.610307475
8.38754903495	18.0404968862
8.56192086874	18.4806437697
8.73991778256	18.9313051512
8.92161513952	19.3930695216
9.10708986948	19.8665555936
9.29642050165	20.3524108547
9.48968719778	20.8513099354
9.68697178616	21.3639528126
9.88835779621	21.8910628682
10.0939304939	22.433384824
10.3037769178	22.9916825745
10.517985916	23.5667369381
10.7366481837	24.159343346
10.9598563014	24.7703094881
11.1877047746	25.4004529335
11.4202900733	26.0505987406
11.6577106731	26.721577072
11.9000670968	27.4142208262
12.1474619572	28.1293632962
12.4	28.8678358661
