wl	n	k
300.9	2.044	0.3153
301.7	2.045	0.3151
302.4	2.045	0.3149
303.1	2.046	0.3147
303.9	2.047	0.3144
304.6	2.048	0.3142
305.4	2.049	0.3139
306.1	2.05	0.3137
306.9	2.05	0.3134
307.7	2.051	0.3132
308.4	2.052	0.3129
309.2	2.053	0.3126
310	2.054	0.3123
310.7	2.054	0.312
311.5	2.055	0.3117
312.3	2.056	0.3114
313.1	2.057	0.3111
313.9	2.058	0.3108
314.7	2.059	0.3105
315.5	2.06	0.3102
316.3	2.06	0.3098
317.1	2.061	0.3095
317.9	2.062	0.3091
318.7	2.063	0.3088
319.5	2.064	0.3084
320.4	2.065	0.3081
321.2	2.066	0.3077
322	2.066	0.3073
322.9	2.067	0.3069
323.7	2.068	0.3065
324.6	2.069	0.3061
325.4	2.07	0.3057
326.3	2.071	0.3053
327.1	2.072	0.3049
328	2.073	0.3044
328.9	2.073	0.304
329.7	2.074	0.3036
330.6	2.075	0.3031
331.5	2.076	0.3026
332.4	2.077	0.3022
333.3	2.078	0.3017
334.2	2.079	0.3012
335.1	2.08	0.3007
336	2.081	0.3002
336.9	2.081	0.2997
337.8	2.082	0.2992
338.8	2.083	0.2987
339.7	2.084	0.2981
340.6	2.085	0.2976
341.6	2.086	0.297
342.5	2.087	0.2965
343.4	2.088	0.2959
344.4	2.089	0.2953
345.4	2.09	0.2947
346.3	2.09	0.2941
347.3	2.091	0.2935
348.3	2.092	0.2929
349.3	2.093	0.2923
350.2	2.094	0.2917
351.2	2.095	0.291
352.2	2.096	0.2904
353.2	2.097	0.2897
354.2	2.098	0.289
355.3	2.099	0.2884
356.3	2.099	0.2877
357.3	2.1	0.287
358.3	2.101	0.2863
359.4	2.102	0.2855
360.4	2.103	0.2848
361.5	2.104	0.2841
362.5	2.105	0.2833
363.6	2.106	0.2826
364.7	2.107	0.2818
365.7	2.108	0.281
366.8	2.108	0.2803
367.9	2.109	0.2795
369	2.11	0.2787
370.1	2.111	0.2778
371.2	2.112	0.277
372.3	2.113	0.2762
373.4	2.114	0.2753
374.6	2.115	0.2745
375.7	2.115	0.2736
376.9	2.116	0.2727
378	2.117	0.2718
379.2	2.118	0.2709
380.3	2.119	0.27
381.5	2.12	0.2691
382.7	2.121	0.2682
383.9	2.121	0.2672
385	2.122	0.2663
386.2	2.123	0.2653
387.5	2.124	0.2643
388.7	2.125	0.2633
389.9	2.126	0.2624
391.1	2.126	0.2613
392.4	2.127	0.2603
393.6	2.128	0.2593
