wl	n
0.78974	1.61239513
0.79132	1.61049542
0.79289	1.60859115
0.79447	1.60668231
0.79605	1.60476887
0.79762	1.60285079
0.7992	1.60092812
0.80077	1.59900072
0.80235	1.59706866
0.80393	1.59513188
0.8055	1.59319034
0.80708	1.59124402
0.80865	1.5892929
0.81023	1.58733694
0.81181	1.58537618
0.81338	1.58341053
0.81496	1.58143992
0.81653	1.57946449
0.81811	1.57748403
0.81968	1.57549865
0.82126	1.57350819
0.82283	1.57151268
0.82441	1.56951223
0.82598	1.56750669
0.82755	1.5654959
0.82913	1.56348008
0.8307	1.56145909
0.83228	1.55943302
0.83385	1.5574016
0.83543	1.55536492
0.837	1.55332308
0.83857	1.55127592
0.84015	1.54922331
0.84172	1.54716545
0.84329	1.54510232
0.84487	1.54303365
0.84644	1.54095952
0.84801	1.53888004
0.84959	1.53679506
0.85116	1.53470454
0.85273	1.53260845
0.8543	1.53050677
0.85588	1.5283996
0.85745	1.52628665
0.85902	1.52416815
0.86059	1.52204394
0.86216	1.51991412
0.86374	1.51777841
0.86531	1.51563702
0.86688	1.51348981
0.86845	1.51133674
0.87002	1.50917778
0.87159	1.50701291
0.87316	1.50484221
0.87474	1.50266554
0.87631	1.50048286
0.87788	1.49829426
0.87945	1.49609946
0.88102	1.49389869
0.88259	1.49169178
0.88416	1.48947884
0.88573	1.48725957
0.8873	1.48503419
0.88887	1.48280255
0.89044	1.48056461
0.89201	1.47832047
0.89358	1.47606997
0.89515	1.47381308
0.89672	1.47154989
0.89829	1.46928009
0.89986	1.46700393
0.90142	1.46472124
0.90299	1.46243212
0.90456	1.46013639
0.90613	1.45783403
0.9077	1.45552498
0.90927	1.45320938
0.91083	1.45088702
0.9124	1.44855788
0.91397	1.44622207
0.91554	1.4438794
0.91711	1.44152984
0.91867	1.43917349
0.92024	1.43681018
0.92181	1.43443985
0.92338	1.43206263
0.92494	1.42967833
0.92651	1.42728691
0.92808	1.42488832
0.92964	1.42248269
0.93121	1.42006996
0.93278	1.4176498
0.93434	1.41522247
0.93591	1.41278793
0.93747	1.41034584
0.93904	1.40789645
0.94061	1.40543973
0.94217	1.40297548
0.94374	1.40050366
0.9453	1.39802422
0.94687	1.39553728
0.94843	1.39304279
0.95	1.39054056
0.95156	1.38803054
0.95313	1.38551268
0.95469	1.3829871
0.95625	1.38045359
0.95782	1.37791226
0.95938	1.37536292
0.96095	1.37280567
0.96251	1.3702403
0.96407	1.36766677
0.96564	1.36508519
0.9672	1.36249535
0.96876	1.35989737
0.97033	1.35729102
0.97189	1.35467642
0.97345	1.35205337
0.97502	1.3494218
0.97658	1.34678183
0.97814	1.34413341
0.9797	1.34147616
0.98126	1.33881051
0.98283	1.33613592
0.98439	1.33345283
0.98595	1.33076069
0.98751	1.32805977
0.98907	1.32535001
0.99063	1.32263121
0.9922	1.31990345
0.99376	1.31716652
0.99532	1.31442054
0.99688	1.31166526
0.99844	1.30890062
1	1.30612675
