{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

1350 0.229 0.695 0.695
1355 0.228 0.696 0.696
1360 0.226 0.698 0.698
1365 0.224 0.699 0.699
1370 0.223 0.701 0.701
1375 0.221 0.702 0.702
1380 0.219 0.704 0.704
1385 0.218 0.705 0.705
1390 0.216 0.707 0.707
1395 0.215 0.708 0.708
1400 0.213 0.71 0.71
1405 0.212 0.711 0.711
1410 0.21 0.712 0.712
1415 0.209 0.714 0.714
1420 0.207 0.715 0.715
1425 0.206 0.716 0.716
1430 0.205 0.717 0.717
1435 0.203 0.719 0.719
1440 0.202 0.72 0.72
1445 0.201 0.721 0.721
1450 0.2 0.722 0.722
1455 0.198 0.724 0.724
1460 0.197 0.725 0.725
1465 0.196 0.726 0.726
1470 0.195 0.727 0.727
1475 0.194 0.728 0.728
1480 0.192 0.729 0.729
1485 0.191 0.731 0.731
1490 0.19 0.732 0.732
1495 0.189 0.733 0.733
1500 0.188 0.734 0.734
1505 0.186 0.735 0.735
1510 0.185 0.736 0.736
1515 0.184 0.737 0.737
1520 0.183 0.738 0.738
1525 0.182 0.739 0.739
1530 0.181 0.741 0.741
1535 0.179 0.742 0.742
1540 0.178 0.743 0.743
1545 0.177 0.744 0.744
1550 0.176 0.745 0.745
1555 0.175 0.746 0.746
1560 0.174 0.747 0.747
1565 0.173 0.748 0.748
1570 0.172 0.749 0.749
1575 0.171 0.75 0.75
1580 0.17 0.75 0.75
1585 0.169 0.751 0.751
1590 0.168 0.752 0.752
1595 0.167 0.753 0.753
1600 0.166 0.754 0.754
1605 0.165 0.755 0.755
1610 0.164 0.756 0.756
1615 0.163 0.757 0.757
1620 0.162 0.758 0.758
1625 0.161 0.759 0.759
1630 0.16 0.759 0.759
1635 0.159 0.76 0.76
1640 0.158 0.761 0.761
1645 0.157 0.762 0.762
1650 0.156 0.763 0.763
1655 0.155 0.764 0.764
1660 0.155 0.764 0.764
1665 0.15 0.765 0.765
1670 0.148 0.766 0.766
1675 0.147 0.767 0.767
1680 0.147 0.768 0.768
1685 0.146 0.768 0.768
1690 0.145 0.77 0.77
1695 0.144 0.771 0.771
1700 0.143 0.771 0.771
1705 0.142 0.772 0.772
1710 0.142 0.773 0.773
1715 0.141 0.774 0.774
1720 0.14 0.775 0.775
1725 0.139 0.776 0.776
1730 0.138 0.776 0.776
1735 0.138 0.777 0.777
1740 0.137 0.778 0.778
1745 0.136 0.778 0.778
1750 0.135 0.778 0.778
1755 0.135 0.78 0.78
1760 0.134 0.78 0.78
1765 0.133 0.781 0.781
1770 0.133 0.782 0.782
1775 0.132 0.782 0.782
1780 0.131 0.783 0.783
1785 0.131 0.784 0.784
1790 0.13 0.784 0.784
1795 0.129 0.785 0.785
1800 0.128 0.786 0.786
1805 0.128 0.787 0.787
1810 0.127 0.787 0.787
1815 0.126 0.788 0.788
1820 0.126 0.789 0.789
1825 0.125 0.789 0.789
1830 0.124 0.789 0.789
1835 0.124 0.79 0.79
1840 0.123 0.791 0.791
1845 0.122 0.79 0.79
1850 0.122 0.791 0.791
1855 0.121 0.792 0.792
1860 0.12 0.793 0.793
1865 0.12 0.794 0.794
1870 0.119 0.794 0.794
