SCC Single Stack - Ag 11nm - AlN 43nm					
	Transmittance	Reflectance	AM 1.5		42
880	40.245179	51.321118	6.14E+01	8.74E-01	
885	39.981448	51.740666	6.17E+01	8.79E-01	
890	39.409857	52.188358	6.05E+01	8.61E-01	
895	39.049427	52.613055	5.33E+01	7.60E-01	
900	39.083927	52.582103	4.88E+01	6.94E-01	
905	38.659114	53.041751	5.36E+01	7.63E-01	
910	38.258204	53.563265	4.11E+01	5.86E-01	
915	37.884885	53.926487	4.46E+01	6.36E-01	
920	37.454587	54.287021	4.89E+01	6.97E-01	
925	37.06146	54.765042	4.68E+01	6.66E-01	
930	36.664881	55.1532	2.86E+01	4.07E-01	
935	36.311272	55.560712	1.66E+01	2.37E-01	
940	35.947319	55.918142	3.12E+01	4.44E-01	
945	35.559919	56.339948	2.44E+01	3.47E-01	
950	35.171686	56.771015	9.79E+00	1.39E-01	
955	34.798385	57.148058	2.26E+01	3.22E-01	
960	34.449887	57.541225	2.79E+01	3.97E-01	
965	34.104476	57.885087	3.33E+01	4.75E-01	
970	33.753705	58.282489	4.19E+01	5.97E-01	
975	33.41093	58.631459	3.90E+01	5.55E-01	
980	33.090494	58.969254	4.00E+01	5.69E-01	
985	32.760965	59.331645	4.55E+01	6.47E-01	
990	32.428696	59.663694	4.84E+01	6.88E-01	
995	32.085779	60.01105	4.96E+01	7.07E-01	
1000	31.783516	60.334269	4.86E+01	6.92E-01	
1005	31.493612	60.681586	4.50E+01	6.41E-01	
1010	31.175511	61.036167	4.75E+01	6.77E-01	
1015	30.838773	61.326966	4.68E+01	6.67E-01	
1020	30.534118	61.65302	4.62E+01	6.58E-01	
1025	30.229724	61.99235	4.62E+01	6.57E-01	
1030	29.937773	62.295336	4.57E+01	6.51E-01	
1035	29.673261	62.609202	4.52E+01	6.43E-01	
1040	29.400262	62.93464	4.45E+01	6.34E-01	
1045	29.109423	63.234315	4.40E+01	6.27E-01	
1050	28.83117	63.538917	4.34E+01	6.18E-01	
1055	28.549312	63.803687	4.30E+01	6.12E-01	
1060	28.28031	64.080334	4.22E+01	6.01E-01	
1065	28.034111	64.369033	4.18E+01	5.95E-01	
1070	27.743462	64.639797	4.02E+01	5.72E-01	
1075	27.480722	64.913275	3.94E+01	5.61E-01	
1080	27.222744	65.18418	3.97E+01	5.65E-01	
1085	26.976299	65.437298	3.94E+01	5.62E-01	
1090	26.709347	65.684804	3.70E+01	5.27E-01	
1095	26.444232	65.949643	3.47E+01	4.94E-01	
1100	26.219099	66.205952	3.24E+01	4.61E-01	
1105	25.980678	66.462185	3.38E+01	4.81E-01	
1110	25.748729	66.70954	3.20E+01	4.55E-01	
1115	25.530219	66.946801	1.67E+01	2.38E-01	
1120	25.283781	67.204767	9.53E+00	1.36E-01	
1125	25.075825	67.436882	9.69E+00	1.38E-01	
1130	24.844381	67.669269	4.75E+00	6.76E-02	
1135	24.599074	67.901044	1.04E+00	1.48E-02	
1140	24.39308	68.127941	1.72E+01	2.44E-01	
