{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

1325 0.0167 0.922 0.922
1330 0.0163 0.923 0.923
1335 0.0158 0.923 0.923
1340 0.0158 0.923 0.923
1345 0.0153 0.923 0.923
1350 0.0151 0.924 0.924
1355 0.0148 0.924 0.924
1360 0.0142 0.924 0.924
1365 0.0142 0.925 0.925
1370 0.0136 0.925 0.925
1375 0.0135 0.926 0.926
1380 0.0135 0.926 0.926
1385 0.013 0.926 0.926
1390 0.0131 0.927 0.927
1395 0.013 0.927 0.927
1400 0.0127 0.927 0.927
1405 0.0128 0.927 0.927
1410 0.0125 0.928 0.928
1415 0.0128 0.928 0.928
1420 0.0128 0.928 0.928
1425 0.0126 0.929 0.929
1430 0.0126 0.929 0.929
1435 0.0124 0.929 0.929
1440 0.0124 0.93 0.93
1445 0.0123 0.93 0.93
1450 0.0122 0.93 0.93
1455 0.0124 0.931 0.931
1460 0.0121 0.931 0.931
1465 0.0119 0.931 0.931
1470 0.0121 0.931 0.931
1475 0.0119 0.931 0.931
1480 0.0117 0.931 0.931
1485 0.012 0.932 0.932
1490 0.0117 0.932 0.932
1495 0.012 0.932 0.932
1500 0.0117 0.933 0.933
1505 0.0117 0.933 0.933
1510 0.0117 0.933 0.933
1515 0.0114 0.933 0.933
1520 0.0118 0.933 0.933
1525 0.0117 0.933 0.933
1530 0.0114 0.934 0.934
1535 0.0116 0.934 0.934
1540 0.0114 0.934 0.934
1545 0.0114 0.934 0.934
1550 0.0112 0.934 0.934
1555 0.0109 0.935 0.935
1560 0.0112 0.935 0.935
1565 0.0109 0.935 0.935
1570 0.0107 0.936 0.936
1575 0.0109 0.936 0.936
1580 0.0106 0.936 0.936
1585 0.0107 0.936 0.936
1590 0.0106 0.936 0.936
1595 0.0102 0.937 0.937
1600 0.0103 0.937 0.937
1605 0.00977 0.937 0.937
1610 0.00977 0.938 0.938
1615 0.00934 0.937 0.937
1620 0.00876 0.938 0.938
1625 0.00888 0.938 0.938
1630 0.00795 0.938 0.938
1635 0.00746 0.938 0.938
1640 0.00694 0.938 0.938
1645 0.00592 0.939 0.939
1650 0.00569 0.939 0.939
1655 0.00502 0.939 0.939
1660 0.00456 0.939 0.939
1665 0.0047 0.939 0.939
1670 0.00417 0.938 0.938
1675 0.00418 0.938 0.938
1680 0.00484 0.938 0.938
1685 0.00483 0.938 0.938
1690 0.00494 0.939 0.939
1695 0.00536 0.939 0.939
1700 0.00565 0.939 0.939
1705 0.00643 0.939 0.939
1710 0.00674 0.939 0.939
1715 0.00695 0.94 0.94
1720 0.00741 0.939 0.939
1725 0.00707 0.94 0.94
1730 0.00715 0.939 0.939
1735 0.0072 0.939 0.939
1740 0.00733 0.94 0.94
1745 0.00799 0.94 0.94
1750 0.0079 0.94 0.94
1755 0.00811 0.94 0.94
1760 0.00846 0.941 0.941
1765 0.0081 0.94 0.94
1770 0.00854 0.94 0.94
1775 0.00821 0.94 0.94
1780 0.008 0.94 0.94
1785 0.00854 0.941 0.941
1790 0.00848 0.941 0.941
1795 0.00841 0.941 0.941
1800 0.00838 0.941 0.941
1805 0.00839 0.941 0.941
1810 0.00881 0.941 0.941
1815 0.0089 0.941 0.941
1820 0.00877 0.941 0.941
1825 0.00846 0.941 0.941
1830 0.00885 0.942 0.942
1835 0.0102 0.942 0.942
1840 0.00971 0.942 0.942
1845 0.0095 0.942 0.942
1850 0.0112 0.943 0.943
1855 0.0118 0.943 0.943
1860 0.0122 0.943 0.943
1865 0.0117 0.943 0.943
1870 0.0114 0.943 0.943
1875 0.0122 0.943 0.943
1880 0.012 0.943 0.943
1885 0.0124 0.943 0.943
1890 0.0125 0.944 0.944
1895 0.0122 0.945 0.945
1900 0.0131 0.944 0.944
1905 0.0129 0.944 0.944
1910 0.0134 0.944 0.944
1915 0.0146 0.944 0.944
1920 0.0129 0.945 0.945
1925 0.0122 0.944 0.944
