480.0	2.0680E+00	1.6181E+00	1.3825E+00
481.0	2.0610E+00	1.6177E+00	1.3836E+00
482.0	2.0623E+00	1.6236E+00	1.3899E+00
483.0	2.0310E+00	1.6038E+00	1.3742E+00
484.0	1.9890E+00	1.5734E+00	1.3492E+00
485.0	1.9790E+00	1.5683E+00	1.3457E+00
486.0	1.6010E+00	1.2716E+00	1.0918E+00
487.0	1.7890E+00	1.4241E+00	1.2235E+00
488.0	1.9350E+00	1.5413E+00	1.3252E+00
489.0	1.8224E+00	1.4519E+00	1.2492E+00
490.0	2.0320E+00	1.6224E+00	1.3968E+00
491.0	1.9490E+00	1.5595E+00	1.3435E+00
492.0	1.8560E+00	1.4869E+00	1.2818E+00
493.0	1.9830E+00	1.5903E+00	1.3719E+00
494.0	1.9339E+00	1.5525E+00	1.3402E+00
495.0	2.0510E+00	1.6485E+00	1.4238E+00
496.0	1.9490E+00	1.5676E+00	1.3548E+00
497.0	1.9800E+00	1.5944E+00	1.3788E+00
498.0	1.9240E+00	1.5509E+00	1.3421E+00
499.0	1.9230E+00	1.5507E+00	1.3429E+00
500.0	1.9160E+00	1.5451E+00	1.3391E+00
501.0	1.8580E+00	1.4978E+00	1.2990E+00
502.0	1.8600E+00	1.4966E+00	1.2991E+00
503.0	1.9490E+00	1.5653E+00	1.3597E+00
504.0	1.8330E+00	1.4587E+00	1.2682E+00
505.0	1.9472E+00	1.5635E+00	1.3598E+00
506.0	2.0250E+00	1.6264E+00	1.4153E+00
507.0	1.9354E+00	1.5560E+00	1.3548E+00
508.0	1.8800E+00	1.5165E+00	1.3210E+00
509.0	1.9650E+00	1.5893E+00	1.3850E+00
510.0	1.9100E+00	1.5481E+00	1.3497E+00
511.0	1.9410E+00	1.5769E+00	1.3753E+00
512.0	1.9890E+00	1.6186E+00	1.4125E+00
513.0	1.8660E+00	1.5206E+00	1.3277E+00
514.0	1.8240E+00	1.4885E+00	1.3003E+00
515.0	1.8750E+00	1.5314E+00	1.3385E+00
516.0	1.8910E+00	1.5455E+00	1.3514E+00
517.0	1.5390E+00	1.2594E+00	1.1017E+00
518.0	1.7590E+00	1.4403E+00	1.2605E+00
519.0	1.7040E+00	1.3957E+00	1.2222E+00
