{ Units, Wavelength Units } SI Nanometers
{ Thickness } 1.000
{ Conductivity } 1.000
{ Emissivity, front back } Emis= 0.025 0.840
{ Type: Coated }
{ Coated Side: Front }

1345 0.298 0.62 0.62
1350 0.297 0.621 0.621
1355 0.295 0.623 0.623
1360 0.293 0.625 0.625
1365 0.291 0.627 0.627
1370 0.288 0.628 0.628
1375 0.287 0.63 0.63
1380 0.285 0.632 0.632
1385 0.282 0.634 0.634
1390 0.28 0.636 0.636
1395 0.278 0.637 0.637
1400 0.276 0.639 0.639
1405 0.275 0.641 0.641
1410 0.273 0.642 0.642
1415 0.271 0.644 0.644
1420 0.27 0.646 0.646
1425 0.268 0.647 0.647
1430 0.267 0.649 0.649
1435 0.265 0.651 0.651
1440 0.264 0.652 0.652
1445 0.262 0.654 0.654
1450 0.26 0.656 0.656
1455 0.259 0.657 0.657
1460 0.257 0.658 0.658
1465 0.256 0.66 0.66
1470 0.254 0.661 0.661
1475 0.253 0.663 0.663
1480 0.251 0.664 0.664
1485 0.25 0.666 0.666
1490 0.248 0.667 0.667
1495 0.247 0.669 0.669
1500 0.245 0.67 0.67
1505 0.244 0.671 0.671
1510 0.243 0.673 0.673
1515 0.241 0.674 0.674
1520 0.24 0.676 0.676
1525 0.238 0.677 0.677
1530 0.237 0.678 0.678
1535 0.235 0.68 0.68
1540 0.234 0.681 0.681
1545 0.233 0.682 0.682
1550 0.231 0.684 0.684
1555 0.23 0.685 0.685
1560 0.229 0.686 0.686
1565 0.227 0.687 0.687
1570 0.226 0.689 0.689
1575 0.225 0.69 0.69
1580 0.224 0.691 0.691
1585 0.222 0.692 0.692
1590 0.221 0.694 0.694
1595 0.22 0.695 0.695
1600 0.219 0.696 0.696
1605 0.217 0.697 0.697
1610 0.216 0.699 0.699
1615 0.215 0.7 0.7
1620 0.214 0.701 0.701
1625 0.213 0.702 0.702
1630 0.211 0.703 0.703
1635 0.21 0.704 0.704
1640 0.209 0.705 0.705
1645 0.208 0.706 0.706
1650 0.207 0.707 0.707
1655 0.206 0.709 0.709
1660 0.204 0.71 0.71
1665 0.204 0.711 0.711
1670 0.203 0.711 0.711
1675 0.201 0.712 0.712
1680 0.2 0.713 0.713
1685 0.199 0.714 0.714
1690 0.198 0.715 0.715
1695 0.197 0.716 0.716
1700 0.196 0.717 0.717
1705 0.195 0.718 0.718
1710 0.194 0.719 0.719
1715 0.193 0.72 0.72
1720 0.193 0.721 0.721
1725 0.191 0.722 0.722
1730 0.19 0.723 0.723
1735 0.189 0.724 0.724
1740 0.188 0.725 0.725
1745 0.188 0.726 0.726
1750 0.187 0.727 0.727
1755 0.185 0.728 0.728
1760 0.185 0.729 0.729
1765 0.183 0.73 0.73
1770 0.182 0.731 0.731
1775 0.181 0.732 0.732
1780 0.18 0.732 0.732
1785 0.18 0.733 0.733
1790 0.178 0.735 0.735
1795 0.177 0.736 0.736
1800 0.177 0.737 0.737
1805 0.176 0.737 0.737
1810 0.175 0.738 0.738
1815 0.175 0.738 0.738
1820 0.174 0.739 0.739
1825 0.173 0.74 0.74
1830 0.172 0.742 0.742
1835 0.172 0.742 0.742
1840 0.172 0.742 0.742
1845 0.171 0.743 0.743
1850 0.17 0.745 0.745
1855 0.169 0.745 0.745
1860 0.169 0.746 0.746
1865 0.169 0.747 0.747
1870 0.168 0.748 0.748
1875 0.167 0.748 0.748
1880 0.166 0.749 0.749
1885 0.166 0.75 0.75
1890 0.165 0.751 0.751
1895 0.164 0.752 0.752
1900 0.164 0.752 0.752
1905 0.163 0.753 0.753
1910 0.163 0.754 0.754
1915 0.163 0.755 0.755
1920 0.162 0.756 0.756
1925 0.16 0.755 0.755
1930 0.16 0.757 0.757
1935 0.158 0.758 0.758
1940 0.157 0.759 0.759
1945 0.156 0.759 0.759
1950 0.155 0.759 0.759
1955 0.154 0.76 0.76
1960 0.152 0.761 0.761
1965 0.152 0.761 0.761
1970 0.151 0.763 0.763
1975 0.15 0.763 0.763
1980 0.15 0.763 0.763
