ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2			
Wvlgth nm	Etr W*m-2*nm-1	Global tilt  W*m-2*nm-1	Direct+circumsolar W*m-2*nm-1
335.0	1.0097E+00	4.6388E-01	2.6477E-01
335.5	9.7453E-01	4.5313E-01	2.5894E-01
336.0	8.8979E-01	4.1519E-01	2.3813E-01
336.5	8.2900E-01	3.8214E-01	2.2099E-01
337.0	8.1800E-01	3.7380E-01	2.1767E-01
337.5	8.7732E-01	4.0051E-01	2.3434E-01
338.0	9.2529E-01	4.3411E-01	2.5321E-01
338.5	9.5783E-01	4.5527E-01	2.6549E-01
339.0	9.6863E-01	4.6355E-01	2.7096E-01
339.5	9.8900E-01	4.7446E-01	2.7847E-01
340.0	1.0544E+00	5.0180E-01	2.9659E-01
340.5	1.0463E+00	5.0071E-01	2.9674E-01
341.0	9.7100E-01	4.7139E-01	2.7932E-01
341.5	9.5900E-01	4.6935E-01	2.7853E-01
342.0	9.9570E-01	4.8934E-01	2.9121E-01
342.5	1.0277E+00	5.0767E-01	3.0296E-01
343.0	1.0417E+00	5.1489E-01	3.0857E-01
343.5	9.8301E-01	4.8609E-01	2.9246E-01
344.0	8.5416E-01	4.1843E-01	2.5352E-01
344.5	8.1300E-01	4.0307E-01	2.4439E-01
345.0	9.1583E-01	4.5898E-01	2.7854E-01
345.5	9.7021E-01	4.8932E-01	2.9761E-01
346.0	9.4269E-01	4.7778E-01	2.9132E-01
346.5	9.5594E-01	4.8657E-01	2.9747E-01
347.0	9.6954E-01	4.9404E-01	3.0318E-01
347.5	9.3318E-01	4.7674E-01	2.9351E-01
348.0	9.2472E-01	4.7511E-01	2.9306E-01
348.5	9.3721E-01	4.8336E-01	2.9884E-01
349.0	8.9900E-01	4.6564E-01	2.8864E-01
349.5	9.1969E-01	4.7805E-01	2.9720E-01
350.0	1.0122E+00	5.2798E-01	3.2913E-01
350.5	1.0849E+00	5.6741E-01	3.5471E-01
351.0	1.0534E+00	5.5172E-01	3.4603E-01
351.5	1.0129E+00	5.3022E-01	3.3388E-01
352.0	9.8383E-01	5.1791E-01	3.2674E-01
352.5	9.2600E-01	4.8962E-01	3.0954E-01
353.0	9.8012E-01	5.2040E-01	3.2975E-01
353.5	1.0752E+00	5.7228E-01	3.6351E-01
354.0	1.1346E+00	6.0498E-01	3.8523E-01
354.5	1.1440E+00	6.1156E-01	3.9043E-01
355.0	1.1406E+00	6.1140E-01	3.9140E-01
355.5	1.0964E+00	5.9028E-01	3.7878E-01
356.0	1.0250E+00	5.5387E-01	3.5627E-01
356.5	9.5914E-01	5.1942E-01	3.3495E-01
357.0	8.4200E-01	4.5673E-01	2.9527E-01
357.5	8.5015E-01	4.6215E-01	2.9950E-01
358.0	7.8916E-01	4.3006E-01	2.7936E-01
358.5	7.3100E-01	3.9926E-01	2.5998E-01
359.0	8.5805E-01	4.6953E-01	3.0650E-01
359.5	1.0321E+00	5.6549E-01	3.7013E-01
360.0	1.0890E+00	5.9817E-01	3.9240E-01
360.5	1.0265E+00	5.6531E-01	3.7167E-01
361.0	9.4150E-01	5.2024E-01	3.4278E-01
361.5	9.1800E-01	5.0956E-01	3.3647E-01
362.0	9.5800E-01	5.3420E-01	3.5350E-01
362.5	1.0450E+00	5.8510E-01	3.8804E-01
363.0	1.0710E+00	6.0191E-01	4.0005E-01
363.5	1.0380E+00	5.8541E-01	3.8994E-01
364.0	1.0716E+00	6.0628E-01	4.0472E-01
364.5	1.0590E+00	6.0058E-01	4.0179E-01
365.0	1.0970E+00	6.2359E-01	4.1810E-01
365.5	1.2041E+00	6.8628E-01	4.6110E-01
366.0	1.2860E+00	7.3532E-01	4.9508E-01
366.5	1.2843E+00	7.3658E-01	4.9694E-01
367.0	1.2577E+00	7.2285E-01	4.8869E-01
367.5	1.2317E+00	7.0914E-01	4.8041E-01
368.0	1.1570E+00	6.6759E-01	4.5319E-01
368.5	1.1459E+00	6.6310E-01	4.5106E-01
369.0	1.1944E+00	6.9315E-01	4.7244E-01
369.5	1.2795E+00	7.4469E-01	5.0856E-01
370.0	1.2934E+00	7.5507E-01	5.1666E-01
370.5	1.1660E+00	6.8261E-01	4.6798E-01
371.0	1.1811E+00	6.9338E-01	4.7628E-01
371.5	1.2249E+00	7.2051E-01	4.9587E-01
372.0	1.1444E+00	6.7444E-01	4.6506E-01
372.5	1.0876E+00	6.4253E-01	4.4389E-01
373.0	1.0445E+00	6.1886E-01	4.2833E-01
373.5	9.3900E-01	5.5786E-01	3.8682E-01
374.0	9.3442E-01	5.5640E-01	3.8651E-01
374.5	9.2500E-01	5.5227E-01	3.8435E-01
375.0	9.8500E-01	5.8930E-01	4.1087E-01
375.5	1.0874E+00	6.5162E-01	4.5514E-01
376.0	1.1240E+00	6.7480E-01	4.7218E-01
376.5	1.1040E+00	6.6390E-01	4.6538E-01
377.0	1.1813E+00	7.1225E-01	5.0014E-01
377.5	1.3149E+00	7.9455E-01	5.5890E-01
378.0	1.4144E+00	8.5595E-01	6.0314E-01
378.5	1.3765E+00	8.3418E-01	5.8892E-01
379.0	1.2260E+00	7.4389E-01	5.2616E-01
379.5	1.0980E+00	6.6683E-01	4.7255E-01
380.0	1.1520E+00	7.0077E-01	4.9751E-01
380.5	1.2310E+00	7.5075E-01	5.3396E-01
381.0	1.2490E+00	7.6383E-01	5.4424E-01
381.5	1.1224E+00	6.8837E-01	4.9135E-01
382.0	9.5426E-01	5.8678E-01	4.1958E-01
382.5	8.2313E-01	5.0762E-01	3.6361E-01
383.0	7.3603E-01	4.5499E-01	3.2648E-01
383.5	7.1095E-01	4.4049E-01	3.1658E-01
384.0	8.2100E-01	5.0968E-01	3.6689E-01
384.5	9.8620E-01	6.1359E-01	4.4239E-01
385.0	1.0802E+00	6.7355E-01	4.8638E-01
385.5	1.0296E+00	6.4363E-01	4.6549E-01
386.0	9.9113E-01	6.2100E-01	4.4984E-01
386.5	1.0279E+00	6.4570E-01	4.6848E-01
387.0	1.0354E+00	6.5147E-01	4.7343E-01
387.5	1.0186E+00	6.4204E-01	4.6731E-01
388.0	1.0067E+00	6.3582E-01	4.6350E-01
388.5	9.9743E-01	6.3136E-01	4.6096E-01
389.0	1.0810E+00	6.8543E-01	5.0121E-01
389.5	1.1958E+00	7.5970E-01	5.5637E-01
390.0	1.2519E+00	7.9699E-01	5.8457E-01
