SCC Double Stack - Ag 10nm - AlN 103.3nm - Ag 15.4nm - AlN 60nm			
	Reflectance	Transmittance	
1390	93.008511	1.247923	219
1395	93.080515	1.230776	220
1400	93.104665	1.213547	221
1405	93.152898	1.196441	222
1410	93.195785	1.179531	223
1415	93.198673	1.164042	224
1420	93.264404	1.148944	225
1425	93.308555	1.133928	226
1430	93.29887	1.119527	227
1435	93.323437	1.105115	228
1440	93.383912	1.091552	229
1445	93.408762	1.07828	230
1450	93.473531	1.065814	231
1455	93.508153	1.052333	232
1460	93.503665	1.038797	233
1465	93.537775	1.026749	234
1470	93.525675	1.015691	235
1475	93.606051	1.003954	236
1480	93.648108	0.991611	237
1485	93.679411	0.97878	238
1490	93.665007	0.967371	239
1495	93.733238	0.956648	240
1500	93.763482	0.945824	241
1505	93.771956	0.935134	242
1510	93.810891	0.923807	243
1515	93.833898	0.913988	244
1520	93.857448	0.904326	245
1525	93.903882	0.892464	246
1530	93.922925	0.882005	247
1535	93.929422	0.872743	248
1540	93.971578	0.862887	249
1545	94.04127	0.852219	250
1550	94.035678	0.843458	251
1555	94.078011	0.834542	252
1560	94.127799	0.825692	253
1565	94.136091	0.816338	254
1570	94.102579	0.80759	255
1575	94.134655	0.799678	256
1580	94.161631	0.791671	257
1585	94.18665	0.783885	258
1590	94.167924	0.775066	259
1595	94.194294	0.766703	260
1600	94.214236	0.758605	261
1605	94.271579	0.750784	262
1610	94.27683	0.743246	263
1615	94.26833	0.735669	264
1620	94.301382	0.728126	265
1625	94.317224	0.72122	266
1630	94.409353	0.714748	267
1635	94.409774	0.7064	268
1640	94.423113	0.700358	269
1645	94.446922	0.693185	270
1650	94.413034	0.685309	271
1655	94.399379	0.679393	272
1660	94.467915	0.673849	273
1665	94.39291	0.66623	274
1670	94.397305	0.659567	275
1675	94.442184	0.652547	276
1680	94.434925	0.647075	277
1685	94.430013	0.641212	278
1690	94.470233	0.635041	279
1695	94.501982	0.629242	280
1700	94.535131	0.62441	281
1705	94.533143	0.617604	282
1710	94.542235	0.611739	283
1715	94.566362	0.606697	284
1720	94.645395	0.602024	285
1725	94.666376	0.59603	286
1730	94.701187	0.590649	287
1735	94.68047	0.584425	288
1740	94.729411	0.579753	289
1745	94.744013	0.574326	290
1750	94.750659	0.570621	291
1755	94.77889	0.564582	292
1760	94.780223	0.559967	293
1765	94.765453	0.555669	294
1770	94.768763	0.550963	295
1775	94.802505	0.545182	296
1780	94.826587	0.541613	297
1785	94.848801	0.535553	298
1790	94.792685	0.531392	299
1795	94.771232	0.528835	300
1800	94.81317	0.523885	301
1805	94.810678	0.519603	302
1810	94.80095	0.514925	303
1815	94.844601	0.509067	304
1820	94.832617	0.506852	305
1825	94.823708	0.501881	306
1830	94.826255	0.499004	307
1835	94.853264	0.493258	308
1840	94.930198	0.489752	309
1845	94.926274	0.486109	310
1850	94.87435	0.481969	311
1855	94.899042	0.481056	312
1860	94.956924	0.476773	313
1865	94.939628	0.472279	314
1870	94.917816	0.467309	315
1875	94.948307	0.461816	316
1880	95.002195	0.460593	317
1885	94.997283	0.459616	318
1890	94.955495	0.45359	319
1895	95.017754	0.448893	320
1900	95.005688	0.447455	321
1905	94.977544	0.442788	322
1910	95.02268	0.445218	323
1915	95.044862	0.436936	324
1920	95.078817	0.435298	325
1925	95.008126	0.427653	326
1930	94.934207	0.430401	327
1935	94.956834	0.426724	328
1940	94.990115	0.421795	329
1945	94.9788	0.416204	330
1950	94.967124	0.416076	331
1955	94.976161	0.415518	332
1960	95.000189	0.410845	333
1965	94.990269	0.40656	334
1970	95.002448	0.402481	335
1975	95.046447	0.40245	336
1980	95.028699	0.398084	337
1985	95.027017	0.393603	338
1990	95.076445	0.392927	339
1995	95.105933	0.389116	340
2000	95.094136	0.420797	341
2005	95.159029	0.399943	342
2010	95.191946	0.392336	343
2015	95.24895	0.396998	344
2020	95.320651	0.40267	345
2025	95.260368	0.391413	346
2030	95.255816	0.377146	347
2035	95.335985	0.386551	348
2040	95.359448	0.386991	349
2045	95.415629	0.3745	350
2050	95.404892	0.369313	351
2055	95.314771	0.368869	352
2060	95.404744	0.356716	353
2065	95.399256	0.347425	354
2070	95.387797	0.372956	355
2075	95.423313	0.379823	356
2080	95.427197	0.360048	357
2085	95.361994	0.354447	358
2090	95.290815	0.355761	359
2095	95.32718	0.364423	360
2100	95.3389	0.376554	361
2105	95.300684	0.371218	362
2110	95.142242	0.366728	363
2115	95.188483	0.347381	364
2120	95.21342	0.351394	365
2125	95.27248	0.330928	366
2130	95.115538	0.322705	367
2135	95.287833	0.325956	368
2140	95.231029	0.32863	369
2145	95.274158	0.326104	370
2150	95.318838	0.343547	371
2155	95.284818	0.341429	372
2160	95.186697	0.326616	373
2165	95.390164	0.315551	374
2170	95.404962	0.316992	375
2175	95.382089	0.311514	376
2180	95.320133	0.338684	377
2185	95.404829	0.318229	378
2190	95.399331	0.307683	379
2195	95.290717	0.325364	380
2200	95.284245	0.316781	381
2205	95.333198	0.325209	382
2210	95.486406	0.306251	383
2215	95.137314	0.32084	384
2220	95.154604	0.314953	385
2225	95.089985	0.28234	386
2230	95.140965	0.302002	387
2235	95.053714	0.296808	388
2240	95.411124	0.314928	389
2245	95.409573	0.305191	390
2250	95.342881	0.307347	391
2255	95.221804	0.294615	392
2260	95.15273	0.300531	393
2265	95.116316	0.301775	394
